pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z,pt5_X,pt5_Y,pt5_Z,pt6_X,pt6_Y,pt6_Z,pro/ret 2-4x,pro/ret 2-4y,pro/ret 2-4z,pt5_X',pt5_Y',pt5_Z',side (1-2),side (2-5'),side (5'-1) C,P/R comp�,Pro/Ret Ang,ele/dep 3-4x,ele/dep 3-4y,ele/dep 3-4z,"pt5_X""","pt5_Y""","pt5_Z""",side 2-3,"side 3-5""","side 5""-1 C",E/D comp �,Ele/Dep Ang
-4.963814,8.722363,11.746941,-4.505405,8.927938,11.997557,-4.355929,8.972916,11.12283,-4.149014,5.860739,9.50007,-3.883328,4.892799,8.678653,-6.160166,3.419043,8.936795,-0.356391,3.067199,2.497487,-4.239719,7.959998,11.17614,0.56143412,1.297005313,1.196381103,1.171565809,#VALUE!,-0.206915,3.112177,1.62276,-4.090243,8.004976,10.301413,0.888545677,1.297005313,1.975126023,2.239732866,#VALUE!
-5.159261,8.570782,11.746146,-4.689551,8.801547,12.00637,-4.525524,8.855048,11.1479,-4.323087,5.768543,9.437527,-4.084591,4.759771,8.670338,-6.356158,3.290925,8.950009,-0.366464,3.033004,2.568843,-4.451055,7.792775,11.239181,0.584462573,1.289604688,1.167845941,1.131727599,#VALUE!,-0.202437,3.086505,1.710373,-4.287028,7.846276,10.380711,0.875635743,1.289604688,1.928039064,2.177410565,#VALUE!
-5.330155,8.471387,11.720951,-4.873785,8.693579,12.021739,-4.705959,8.742613,11.121569,-4.549963,5.630945,9.409358,-4.28027,4.674374,8.609524,-6.596173,3.151708,8.991187,-0.323822,3.062634,2.612381,-4.604092,7.737008,11.221905,0.590013799,1.275733836,1.146964213,1.116891154,#VALUE!,-0.155996,3.111668,1.712211,-4.436266,7.786042,10.321735,0.916992873,1.275733836,1.976122436,2.231982446,#VALUE!
-5.496611,8.361514,11.720799,-5.057737,8.533055,12.034671,-4.866669,8.678994,11.039331,-4.725555,5.512702,9.389937,-4.49102,4.536188,8.644201,-6.770828,3.041395,8.986321,-0.332182,3.020353,2.644734,-4.823202,7.556541,11.288935,0.566173414,1.250883064,1.134886658,1.135490159,#VALUE!,-0.141114,3.166292,1.649394,-4.632134,7.70248,10.293595,1.023966253,1.250883064,1.97543372,2.098122783,#VALUE!
-5.678599,8.240984,11.725678,-5.254919,8.443926,11.962973,-5.076088,8.521396,11.072288,-4.89629,5.357812,9.431264,-4.677324,4.436793,8.563539,-6.93088,2.924773,8.927918,-0.358629,3.086114,2.531709,-5.035953,7.522907,11.095248,0.526307054,1.284199666,1.151551321,1.110810203,#VALUE!,-0.179798,3.163584,1.641024,-4.857122,7.600377,10.204563,0.911757587,1.284199666,1.990432892,2.255678107,#VALUE!
-5.833268,8.147671,11.659142,-5.442527,8.264971,11.980905,-5.259582,8.401323,11.0388,-5.119939,5.192505,9.491191,-4.860534,4.306406,8.576637,-7.160984,2.787428,8.900232,-0.322588,3.072466,2.489714,-5.183122,7.378872,11.066351,0.51958565,1.299565855,1.168393296,1.115617915,#VALUE!,-0.139643,3.208818,1.547609,-5.000177,7.515224,10.124246,0.969341308,1.299565855,2.050603991,2.246858254,#VALUE!
-6.007787,8.002776,11.705502,-5.619343,8.121922,12.042302,-5.45157,8.271183,11.02499,-5.288783,5.110179,9.411952,-5.058805,4.16014,8.548885,-7.365217,2.638658,8.894973,-0.33056,3.011743,2.63035,-5.389365,7.171883,11.179235,0.527748757,1.303974167,1.161802867,1.096100562,#VALUE!,-0.162787,3.161004,1.613038,-5.221592,7.321144,10.161923,1.041801483,1.303974167,2.082132668,2.17770887,#VALUE!
-6.167235,7.835818,11.751025,-5.797294,8.009099,12.013184,-5.614108,8.161252,11.035855,-5.432933,5.017416,9.35592,-5.246283,4.080175,8.489277,-7.563178,2.486047,8.88548,-0.364361,2.991683,2.657264,-5.610644,7.071858,11.146541,0.485396734,1.290088758,1.121975637,1.033400192,#VALUE!,-0.181175,3.143836,1.679935,-5.427458,7.224011,10.169212,1.005922273,1.290088758,2.037982966,2.176249771,#VALUE!
-6.374907,7.738545,11.649363,-5.97622,7.92529,11.980871,-5.783429,8.037293,11.006898,-5.627041,4.922488,9.330667,-5.476367,3.890809,8.497016,-7.715002,2.394131,8.819345,-0.349179,3.002802,2.650204,-5.825546,6.893611,11.14722,0.551110309,1.334930037,1.125992258,0.981385425,#VALUE!,-0.156388,3.114805,1.676231,-5.632755,7.005614,10.173247,0.999167877,1.334930037,2.057006727,2.145862191,#VALUE!
-6.581112,7.638597,11.580843,-6.141429,7.771811,11.945854,-5.975223,7.905498,11.004864,-5.888626,4.71285,9.365612,-5.648976,3.787537,8.482721,-7.945318,2.207797,8.868715,-0.252803,3.058961,2.580242,-5.901779,6.846498,11.062963,0.586770944,1.301204361,1.164952293,1.109039782,#VALUE!,-0.086597,3.192648,1.639252,-5.735573,6.980185,10.121973,0.964862077,1.301204361,2.029269011,2.207971121,#VALUE!
-6.712376,7.524231,11.542603,-6.34201,7.601416,11.963022,-6.160594,7.764416,10.983742,-6.070221,4.564097,9.348795,-5.85044,3.627252,8.47933,-8.106575,2.03835,8.871275,-0.271789,3.037319,2.614227,-6.122229,6.664571,11.093557,0.565579909,1.296900778,1.135311018,1.063337538,#VALUE!,-0.090373,3.200319,1.634947,-5.940813,6.827571,10.114277,1.009192788,1.296900778,2.043930819,2.170424906,#VALUE!
-6.989125,7.274032,11.598591,-6.535188,7.435797,11.927789,-6.314701,7.59795,10.986162,-6.206365,4.508146,9.225815,-6.052157,3.468884,8.451468,-8.318499,1.931707,8.764712,-0.328823,2.927651,2.701974,-6.38098,6.396535,11.153442,0.583607778,1.30516623,1.156719049,1.088886929,#VALUE!,-0.108336,3.089804,1.760347,-6.160493,6.558688,10.211815,0.980596512,1.30516623,1.963232872,2.053990742,#VALUE!
-7.142377,7.144807,11.59879,-6.685144,7.360887,11.827547,-6.531383,7.426884,10.975358,-6.400094,4.348936,9.258806,-6.247784,3.328588,8.446886,-8.493392,1.771304,8.772161,-0.28505,3.011951,2.568741,-6.532834,6.340539,11.015627,0.555051662,1.312829945,1.165533684,1.090680483,#VALUE!,-0.131289,3.077948,1.716552,-6.379073,6.406536,10.163438,0.868460788,1.312829945,1.942607539,2.17528411,#VALUE!
-7.272161,7.016209,11.581692,-6.917056,7.182722,11.853004,-6.698333,7.286444,10.930801,-6.593697,4.135585,9.272603,-6.398849,3.215286,8.396707,-8.706967,1.626375,8.715035,-0.323359,3.047137,2.580401,-6.722208,6.262423,10.977108,0.476902864,1.285344232,1.111828876,1.01832163,#VALUE!,-0.104636,3.150859,1.658198,-6.503485,6.366145,10.054905,0.95344448,1.285344232,2.017671674,2.234457031,#VALUE!
-7.478821,6.880414,11.549707,-7.05178,7.087693,11.804861,-6.844655,7.180874,10.879571,-6.785226,3.987974,9.265613,-6.624957,2.998479,8.461172,-8.89249,1.50433,8.694369,-0.266554,3.099719,2.539248,-6.891511,6.098198,11.00042,0.538917585,1.285267221,1.121833818,1.054534044,#VALUE!,-0.059429,3.1929,1.613958,-6.684386,6.191379,10.07513,0.952756553,1.285267221,1.9825051,2.16477668,#VALUE!
-7.621347,6.70711,11.586822,-7.236071,6.884581,11.828539,-7.075533,6.957554,10.908768,-6.986715,3.769761,9.334212,-6.833604,2.795394,8.456272,-9.077086,1.324257,8.678667,-0.249356,3.11482,2.494327,-7.08296,5.910214,10.950599,0.488221937,1.320459266,1.153119032,1.040366405,#VALUE!,-0.088818,3.187793,1.574556,-6.922422,5.983187,10.030828,0.936523465,1.320459266,2.035350505,2.233640915,#VALUE!
-7.799222,6.579248,11.521955,-7.458615,6.684686,11.823321,-7.24718,6.833756,10.895268,-7.175303,3.637577,9.297033,-6.999743,2.661173,8.43953,-9.308357,1.080902,8.72077,-0.283312,3.047109,2.526288,-7.283055,5.708282,10.965818,0.466853046,1.311296107,1.155118396,1.055694755,#VALUE!,-0.071877,3.196179,1.598235,-7.07162,5.857352,10.037765,0.963436036,1.311296107,2.005606369,2.146099674,#VALUE!
-8.01994,6.338325,11.588022,-7.61917,6.59595,11.771716,-7.380084,6.72,10.866001,-7.347711,3.516609,9.246712,-7.215439,2.474124,8.456058,-9.464634,0.962074,8.694029,-0.271459,3.079341,2.525004,-7.486898,5.553465,10.981062,0.510617978,1.315068289,1.12629456,1.003559737,#VALUE!,-0.032373,3.203391,1.619289,-7.247812,5.677515,10.075347,0.944918081,1.315068289,1.964458551,2.091698139,#VALUE!
-8.193196,6.171023,11.571994,-7.797859,6.389004,11.765121,-7.585099,6.541212,10.838177,-7.550318,3.324868,9.237466,-7.419326,2.357081,8.332043,-9.691395,0.75914,8.685546,-0.247541,3.064136,2.527655,-7.666867,5.421217,10.859698,0.491024539,1.331751249,1.160429595,1.034661338,#VALUE!,-0.034781,3.216344,1.600711,-7.454107,5.573425,9.932754,0.963150701,1.331751249,2.034920973,2.166634016,#VALUE!
-8.383102,5.97639,11.594541,-8.001378,6.20633,11.766494,-7.787936,6.342155,10.83942,-7.7218,3.146431,9.227817,-7.587691,2.159294,8.399345,-9.913651,0.566406,8.693248,-0.279578,3.059899,2.538677,-7.867269,5.219193,10.938022,0.477654111,1.295681495,1.127141596,1.030691736,#VALUE!,-0.066136,3.195724,1.611603,-7.653827,5.355018,10.010948,0.960974568,1.295681495,1.981783433,2.131946119,#VALUE!
-8.560324,5.838009,11.575093,-8.165641,6.064134,11.699608,-7.99609,6.160931,10.858468,-7.904915,2.985425,9.208629,-7.734017,2.010263,8.322376,-10.148677,0.502977,8.544216,-0.260726,3.078709,2.490979,-7.994743,5.088972,10.813355,0.471604889,1.328755596,1.208794058,1.136968067,#VALUE!,-0.091175,3.175506,1.649839,-7.825192,5.185769,9.972215,0.86350084,1.328755596,1.967566307,2.205195707,#VALUE!
-8.7611,5.690203,11.45834,-8.361181,5.878475,11.737006,-8.17588,6.021825,10.825832,-8.111061,2.837022,9.213516,-7.928352,1.845474,8.377828,-10.282174,0.330735,8.564142,-0.25012,3.041453,2.52349,-8.178472,4.886927,10.901318,0.522528748,1.309551239,1.137972419,1.039840219,#VALUE!,-0.064819,3.184803,1.612316,-7.993171,5.030277,9.990144,0.940810152,1.309551239,1.976460992,2.129582791,#VALUE!
-8.943382,5.516189,11.509817,-8.529286,5.751052,11.717064,-8.360788,5.859789,10.791507,-8.239071,2.733666,9.135297,-8.082443,1.69836,8.36898,-10.458515,0.165017,8.602954,-0.290215,3.017386,2.581767,-8.372658,4.715746,10.950747,0.519218109,1.297548684,1.130926233,1.046756058,#VALUE!,-0.121717,3.126123,1.65621,-8.20416,4.824483,10.02519,0.947032772,1.297548684,1.95618881,2.102566144,#VALUE!
-9.11247,5.393138,11.453205,-8.716746,5.617663,11.664696,-8.557205,5.678643,10.770348,-8.420657,2.573898,9.139292,-8.235628,1.659753,8.247661,-10.565163,0.068297,8.610825,-0.296089,3.043765,2.525404,-8.531717,4.703518,10.773065,0.501734395,1.290311068,1.129353891,1.052712297,#VALUE!,-0.136548,3.104745,1.631056,-8.372176,4.764498,9.878717,0.910510975,1.290311068,2.009064457,2.286874954,#VALUE!
