
 0.01561,  0.03661,  0.04189, -0.00002, -0.00084, -0.00577
-0.00111,  0.02774,  0.04097,  0.00067, -0.00150, -0.00303
 0.01031, -0.00618,  0.04929, -0.00072, -0.00157, -0.00351
 0.01190, -0.01055,  0.04175,  0.00067, -0.00150, -0.00163
 0.01955,  0.00030,  0.06916,  0.00066, -0.00010, -0.00252
 0.01459, -0.01016,  0.05192,  0.00067, -0.00150, -0.00422
 0.00731,  0.02391,  0.05452, -0.00003, -0.00223, -0.00611
 0.01169,  0.01067,  0.04670,  0.00067, -0.00150, -0.00268
 0.02642,  0.00365,  0.05153, -0.00004, -0.00077, -0.00602
-0.00379,  0.00528,  0.03906,  0.00067, -0.00150, -0.00367
 0.02634, -0.00864,  0.04173,  0.00067, -0.00150, -0.00153
-0.01047,  0.00818,  0.04936,  0.00067, -0.00150, -0.00213
 0.00678, -0.01290,  0.06451, -0.00004, -0.00077, -0.00505
 0.03800, -0.01605,  0.03997,  0.00067, -0.00150, -0.00650
 0.03827,  0.00626,  0.04641,  0.00067, -0.00150, -0.00436
 0.01575, -0.01595,  0.04937,  0.00067, -0.00150, -0.00366
 0.02702, -0.00112,  0.03869,  0.00067, -0.00150, -0.00565
 0.00852,  0.01075,  0.05421, -0.00004, -0.00077, -0.00671
 0.01524, -0.01275,  0.06906,  0.00065, -0.00289, -0.00779
 0.01499, -0.01538,  0.06119,  0.00066, -0.00010, -0.00356
-0.00085, -0.00507,  0.05731, -0.00074, -0.00150, -0.00598
 0.00792,  0.00755,  0.04837,  0.00067, -0.00150, -0.00634
 0.02026,  0.01271,  0.04936,  0.00067, -0.00150, -0.00645
 0.02628, -0.00222,  0.04548,  0.00067, -0.00150, -0.00289
 0.02019, -0.00578,  0.05345,  0.00066, -0.00010, -0.00363
 0.02022, -0.00316,  0.05520, -0.00004, -0.00077, -0.00222
 0.03658,  0.00335,  0.05001,  0.00137, -0.00083, -0.00392
 0.00758, -0.00156,  0.06140, -0.00074, -0.00150, -0.00851
 0.02848, -0.01819,  0.04406,  0.00067, -0.00150, -0.00641
 0.02117, -0.00098,  0.05734,  0.00137, -0.00083, -0.00838
 0.01529,  0.01227,  0.05520,  0.00066, -0.00010, -0.00419
 0.03118, -0.00591,  0.04736,  0.00067, -0.00150, -0.00873
 0.01447, -0.02627,  0.04479,  0.00067, -0.00150, -0.00445
