pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z,pt5_X,pt5_Y,pt5_Z,pt6_X,pt6_Y,pt6_Z
13.774459,4.08855,18.70634,14.2705,4.164794,18.791212,14.516616,4.054666,18.153064,14.786328,1.612834,16.4934,15.335635,1.218115,15.864876,13.980513,0.34381,15.34242
13.76958,4.105501,18.728694,14.28006,4.143883,18.846204,14.478431,4.071798,18.165303,14.809929,1.643886,16.45064,15.331198,1.256569,15.841022,14.000783,0.430632,15.295741
13.76958,4.105501,18.728694,14.28006,4.143883,18.846204,14.478431,4.071798,18.165303,14.809929,1.643886,16.45064,15.331198,1.256569,15.841022,14.001358,0.430795,15.294164
13.76958,4.105501,18.728694,14.28006,4.143883,18.846204,14.478431,4.071798,18.165303,14.809929,1.643886,16.45064,15.331198,1.256569,15.841022,14.001521,0.431659,15.294094
13.768897,4.106497,18.72723,14.28006,4.143883,18.846204,14.478431,4.071798,18.165303,14.809906,1.644385,16.451119,15.331174,1.257067,15.841499,14.00062,0.429768,15.295811
13.768897,4.106497,18.72723,14.28006,4.143883,18.846204,14.478431,4.071798,18.165303,14.809929,1.643886,16.45064,15.331198,1.256569,15.841022,14.000673,0.431822,15.292728
13.768897,4.106497,18.72723,14.28006,4.143883,18.846204,14.477744,4.072792,18.163848,14.809929,1.643886,16.45064,15.331198,1.256569,15.841022,14.000861,0.432187,15.292179
13.76958,4.105501,18.728694,14.279373,4.144879,18.844739,14.478431,4.071798,18.165303,14.809929,1.643886,16.45064,15.331198,1.256569,15.841022,14.00062,0.429768,15.295811
13.76958,4.105501,18.728694,14.28006,4.143883,18.846204,14.478431,4.071798,18.165303,14.809929,1.643886,16.45064,15.331198,1.256569,15.841022,14.00062,0.429768,15.295811
13.76958,4.105501,18.728694,14.28006,4.143883,18.846204,14.478431,4.071798,18.165303,14.809929,1.643886,16.45064,15.331198,1.256569,15.841022,14.001358,0.430795,15.294164
13.768897,4.106497,18.72723,14.279373,4.144879,18.844739,14.477744,4.072792,18.163848,14.809906,1.644385,16.451119,15.331198,1.256569,15.841022,14.00062,0.429768,15.295811
13.76958,4.105501,18.728694,14.28006,4.143883,18.846204,14.478431,4.071798,18.165303,14.809929,1.643886,16.45064,15.330505,1.257585,15.839586,14.00062,0.429768,15.295811
13.768897,4.106497,18.72723,14.279373,4.144879,18.844739,14.477744,4.072792,18.163848,14.809929,1.643886,16.45064,15.331198,1.256569,15.841022,14.001358,0.430795,15.294164
13.768897,4.106497,18.72723,14.278632,4.143874,18.846437,14.477744,4.072792,18.163848,14.809929,1.643886,16.45064,15.331198,1.256569,15.841022,14.000673,0.431822,15.292728
13.768897,4.106497,18.72723,14.28006,4.143883,18.846204,14.477744,4.072792,18.163848,14.809929,1.643886,16.45064,15.331198,1.256569,15.841022,14.001358,0.430795,15.294164
13.76958,4.105501,18.728694,14.28006,4.143883,18.846204,14.478431,4.071798,18.165303,14.809929,1.643886,16.45064,15.331198,1.256569,15.841022,14.001358,0.430795,15.294164
13.768897,4.106497,18.72723,14.279373,4.144879,18.844739,14.477744,4.072792,18.163848,14.809929,1.643886,16.45064,15.331198,1.256569,15.841022,14.001546,0.43116,15.293615
13.768897,4.106497,18.72723,14.28006,4.143883,18.846204,14.478431,4.071798,18.165303,14.809906,1.644385,16.451119,15.331174,1.257067,15.841499,14.000698,0.431323,15.292249
13.76958,4.105501,18.728694,14.279904,4.143036,18.846271,14.478431,4.071798,18.165303,14.809929,1.643886,16.45064,15.33104,1.255703,15.841097,13.999935,0.430795,15.294375
13.769423,4.104654,18.728762,14.279163,4.142031,18.847969,14.478275,4.07095,18.165373,14.809929,1.643886,16.45064,15.331198,1.256569,15.841022,14.001358,0.430795,15.294164
13.769423,4.104654,18.728762,14.28006,4.143883,18.846204,14.478431,4.071798,18.165303,14.809929,1.643886,16.45064,15.331198,1.256569,15.841022,14.001383,0.430296,15.293685
13.76958,4.105501,18.728694,14.28006,4.143883,18.846204,14.478431,4.071798,18.165303,14.809929,1.643886,16.45064,15.33104,1.255703,15.841097,14.000698,0.431323,15.292249
13.769423,4.104654,18.728762,14.279904,4.143036,18.846271,14.478275,4.07095,18.165373,14.809929,1.643886,16.45064,15.33104,1.255703,15.841097,14.000646,0.429269,15.295332
13.769599,4.104991,18.728226,14.279923,4.142524,18.845805,14.478294,4.070442,18.164905,14.809929,1.643886,16.45064,15.33104,1.255703,15.841097,14.000673,0.431822,15.292728
13.769442,4.104144,18.728293,14.279923,4.142524,18.845805,14.478294,4.070442,18.164905,14.809929,1.643886,16.45064,15.331198,1.256569,15.841022,14.000646,0.429269,15.295332
13.769442,4.104144,18.728293,14.279923,4.142524,18.845805,14.478294,4.070442,18.164905,14.809929,1.643886,16.45064,15.33104,1.255703,15.841097,14.001358,0.430795,15.294164
13.769423,4.104654,18.728762,14.280591,4.14204,18.847736,14.478961,4.069957,18.166828,14.809929,1.643886,16.45064,15.33104,1.255703,15.841097,14.001521,0.431659,15.294094
