pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z,pt5_X,pt5_Y,pt5_Z,pt6_X,pt6_Y,pt6_Z,pro/ret 2-4x,pro/ret 2-4y,pro/ret 2-4z,pt5_X',pt5_Y',pt5_Z',side (1-2),side (2-5'),side (5'-1) C,P/R comp�,Pro/Ret Ang,ele/dep 3-4x,ele/dep 3-4y,ele/dep 3-4z,"pt5_X""","pt5_Y""","pt5_Z""",side 2-3,"side 3-5""","side 5""-1 C",E/D comp �,Ele/Dep Ang
-5.094103,4.518017,14.764949,-4.457227,4.561388,15.205198,-4.452509,4.622917,13.996259,-4.022698,1.887679,13.719746,-3.421234,2.018401,12.091388,-4.621669,0.238161,13.201453,-0.434529,2.673709,1.485452,-3.855763,4.69211,13.57684,0.775442625,1.740803539,1.724934006,1.325238628,#DIV/0!,-0.429811,2.735238,0.276513,-3.851045,4.753639,12.367901,1.210512942,1.740803539,2.907691753,2.791535852,#DIV/0!
-5.104847,4.490682,14.774878,-4.470452,4.537566,15.202609,-4.471719,4.622082,13.972646,-4.02979,1.88852,13.716765,-3.427391,2.020162,12.086955,-4.625308,0.241694,13.195341,-0.440662,2.649046,1.485844,-3.868053,4.669208,13.572799,0.766556543,1.742554105,1.733933347,1.337515965,#DIV/0!,-0.441929,2.733562,0.255881,-3.86932,4.753724,12.342836,1.232863959,1.742554105,2.9302535,2.787386972,#DIV/0!
-5.115243,4.474903,14.773842,-4.497397,4.549959,15.143819,-4.490635,4.626799,13.949649,-4.036104,1.891962,13.71362,-3.433456,2.023787,12.083417,-4.628036,0.244199,13.193226,-0.461293,2.657997,1.430199,-3.894749,4.681784,13.513616,0.724051147,1.74302159,1.766514909,1.394855739,#DIV/0!,-0.454531,2.734837,0.236029,-3.887987,4.758624,12.319446,1.196658723,1.74302159,2.896895661,2.793834641,#DIV/0!
-5.13106,4.469964,14.745565,-4.51108,4.559736,15.139476,-4.501077,4.615114,13.943332,-4.040933,1.893798,13.712572,-3.439236,2.027123,12.07893,-4.632786,0.245969,13.188672,-0.470147,2.665938,1.426904,-3.909383,4.693061,13.505834,0.74000006,1.746024347,1.754764918,1.369368125,#DIV/0!,-0.460144,2.721316,0.23076,-3.89938,4.748439,12.30969,1.197467015,1.746024347,2.901288424,2.796403751,#DIV/0!
-5.139381,4.45862,14.758002,-4.522425,4.555678,15.142075,-4.516511,4.610265,13.929291,-4.047468,1.896026,13.712473,-3.446258,2.030334,12.077371,-4.63694,0.248563,13.186555,-0.474957,2.659652,1.429602,-3.921215,4.689986,13.506973,0.733189628,1.747298101,1.761400633,1.379130415,#DIV/0!,-0.469043,2.714239,0.216818,-3.915301,4.744573,12.294189,1.214026255,1.747298101,2.918001978,2.793319905,#DIV/0!
-5.170554,4.487401,14.705208,-4.530535,4.545068,15.154576,-4.532566,4.61307,13.921704,-4.054093,1.902267,13.704821,-3.452546,2.034703,12.071377,-4.641083,0.253156,13.17891,-0.476442,2.642801,1.449755,-3.928988,4.677504,13.521132,0.784143739,1.745719734,1.726169533,1.318753574,#DIV/0!,-0.478473,2.710803,0.216883,-3.931019,4.745506,12.28826,1.234747652,1.745719734,2.935193731,2.787250769,#DIV/0!
-5.187842,4.483565,14.687716,-4.543252,4.536431,15.157243,-4.553795,4.621934,13.906419,-4.067593,1.917431,13.681917,-3.469461,2.058268,12.03874,-4.645741,0.256809,13.175259,-0.475659,2.619,1.475326,-3.94512,4.677268,13.514066,0.799216295,1.754316848,1.720271241,1.297433408,#DIV/0!,-0.486202,2.704503,0.224502,-3.955663,4.762771,12.263242,1.253787301,1.754316848,2.961711062,2.784857073,#DIV/0!
-5.208619,4.488985,14.684287,-4.565957,4.55095,15.133188,-4.587295,4.594555,13.942944,-4.072787,1.921642,13.679773,-3.475287,2.062142,12.034714,-4.649844,0.258859,13.172678,-0.49317,2.629308,1.453415,-3.968457,4.69145,13.488129,0.786362649,1.755837582,1.734874008,1.317674175,#DIV/0!,-0.514508,2.672913,0.263171,-3.989795,4.735055,12.297885,1.191233598,1.755837582,2.899103379,2.773356299,#DIV/0!
-5.23823,4.472944,14.715064,-4.614428,4.539604,15.130333,-4.59501,4.585559,13.955236,-4.082214,1.919664,13.683854,-3.481241,2.06275,12.035706,-4.654299,0.265302,13.163474,-0.532214,2.61994,1.446479,-4.013455,4.68269,13.482185,0.752343561,1.760123285,1.750445033,1.3422645,#DIV/0!,-0.512796,2.665895,0.271382,-3.994037,4.728645,12.307088,1.176155551,1.760123285,2.896779906,2.806417569,#DIV/0!
-5.249177,4.473287,14.713191,-4.620041,4.528942,15.136675,-4.619628,4.624851,13.920509,-4.100462,1.906703,13.701852,-3.488283,2.065552,12.037115,-4.66007,0.267194,13.16138,-0.519579,2.622239,1.434823,-4.007862,4.687791,13.471938,0.760426383,1.780827171,1.768497641,1.339066412,#DIV/0!,-0.519166,2.718148,0.218657,-4.007449,4.7837,12.255772,1.219941985,1.780827171,2.956310656,2.790643108,#DIV/0!
-5.261431,4.481027,14.705334,-4.625942,4.521768,15.146015,-4.625507,4.61772,13.929737,-4.105195,1.910422,13.701696,-3.494,2.06641,12.037618,-4.674151,0.296293,13.117984,-0.520747,2.611346,1.444319,-4.014747,4.677756,13.481937,0.774406768,1.779619952,1.757732492,1.322589476,#DIV/0!,-0.520312,2.707298,0.228041,-4.014312,4.773708,12.265659,1.220057027,1.779619952,2.955336818,2.791073386,#DIV/0!
-5.267717,4.475362,14.716529,-4.637096,4.525153,15.130999,-4.630653,4.610742,13.93746,-4.111529,1.912462,13.704136,-3.499437,2.069918,12.038989,-4.678303,0.298888,13.115868,-0.525567,2.612691,1.426863,-4.025004,4.682609,13.465852,0.756272021,1.78105686,1.775240794,1.348994374,#DIV/0!,-0.519124,2.69828,0.233324,-4.018561,4.768198,12.272313,1.196621216,1.78105686,2.934917727,2.795443846,#DIV/0!
-5.279407,4.488548,14.71092,-4.641154,4.519848,15.137247,-4.636348,4.604386,13.946664,-4.117133,1.914675,13.705061,-3.50539,2.070528,12.03998,-4.715565,0.266046,13.168405,-0.524021,2.605173,1.432186,-4.029411,4.675701,13.472166,0.768180508,1.780734228,1.769753575,1.338777867,#DIV/0!,-0.519215,2.689711,0.241603,-4.024605,4.760239,12.281583,1.193590236,1.780734228,2.931337132,2.794246282,#DIV/0!
