pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z,pt5_X,pt5_Y,pt5_Z,pt6_X,pt6_Y,pt6_Z,pt7_X,pt7_Y,pt7_Z
15.748590,3.791017,18.170799,16.474959,3.657101,18.330544,16.444428,3.629155,17.627055,15.833912,1.241008,15.636326,16.672414,0.827449,14.574370,15.189831,0.335887,15.122569,NaN,NaN,NaN
15.740418,3.783834,18.171453,16.448080,3.628730,18.370421,16.437159,3.624975,17.622897,15.832396,1.239773,15.632160,16.670895,0.826217,14.570237,15.188773,0.333288,15.120385,NaN,NaN,NaN
15.715803,3.757674,18.205099,16.440714,3.622648,18.365417,16.429003,3.618398,17.620047,15.830842,1.239046,15.628456,16.669997,0.824479,14.568012,15.188038,0.332426,15.118062,NaN,NaN,NaN
15.707902,3.753361,18.202503,16.433143,3.613458,18.360082,16.422674,3.609579,17.611464,15.829287,1.238318,15.624752,16.668281,0.822881,14.564413,15.186981,0.329827,15.115879,NaN,NaN,NaN
15.698132,3.749831,18.197658,16.423985,3.610053,18.353663,16.414043,3.604338,17.606611,15.826961,1.236551,15.622709,16.666762,0.821648,14.560280,15.185470,0.327921,15.115206,NaN,NaN,NaN
15.688482,3.748317,18.189635,16.413511,3.607985,18.347847,16.404100,3.600431,17.602360,15.824788,1.236326,15.617083,16.665102,0.818866,14.559706,15.184573,0.326191,15.112953,NaN,NaN,NaN
15.679643,3.746667,18.183023,16.405395,3.607846,18.340031,16.395849,3.599436,17.594654,15.823233,1.235599,15.613380,16.663386,0.817267,14.556107,15.183677,0.324460,15.110699,NaN,NaN,NaN
15.654819,3.766527,18.135669,16.382118,3.625920,18.299043,16.372157,3.618795,17.551923,15.820130,1.233468,15.609485,16.661205,0.817045,14.550529,15.181925,0.323388,15.107521,NaN,NaN,NaN
15.646931,3.757450,18.116696,16.375513,3.624147,18.293657,16.364019,3.615618,17.546398,15.799895,1.256964,15.558821,16.660307,0.815307,14.548303,15.180989,0.322164,15.105734,NaN,NaN,NaN
15.640182,3.754201,18.114909,16.366770,3.620281,18.289276,16.355362,3.605541,17.529209,15.798341,1.256237,15.555118,16.658788,0.814075,14.544171,15.179478,0.320259,15.105060,NaN,NaN,NaN
15.632744,3.752457,18.112098,16.359488,3.610746,18.272221,16.348586,3.603427,17.524374,15.797444,1.254499,15.552876,16.657072,0.812477,14.540572,15.179035,0.317145,15.104804,NaN,NaN,NaN
15.625995,3.749208,18.110311,16.352891,3.608328,18.270396,16.341386,3.600847,17.524171,15.794500,1.253236,15.548911,16.655255,0.808824,14.540069,15.176869,0.316260,15.102670,NaN,NaN,NaN
15.619212,3.746475,18.108980,16.345447,3.606554,18.267625,16.333221,3.597540,17.522640,15.792985,1.252001,15.544746,16.653696,0.808096,14.536399,15.176588,0.314705,15.098837,NaN,NaN,NaN
15.611686,3.742203,18.108884,16.337926,3.602247,18.267575,16.325682,3.593757,17.523036,15.790698,1.249728,15.542241,16.652137,0.807368,14.532728,15.174714,0.311568,15.098768,NaN,NaN,NaN
15.603282,3.739098,18.108291,16.329861,3.600305,18.266427,16.317669,3.591308,17.521432,15.786934,1.236967,15.516503,16.650421,0.805770,14.529129,15.173123,0.311365,15.095520,NaN,NaN,NaN
15.595602,3.733971,18.108265,16.321678,3.596991,18.264895,16.309511,3.587358,17.523444,15.784609,1.235201,15.514460,16.648100,0.803997,14.527109,15.172066,0.308766,15.093336,NaN,NaN,NaN
15.586729,3.732198,18.105662,16.314082,3.594357,18.262198,16.300541,3.583539,17.524055,15.783674,1.233970,15.512680,16.638682,0.814372,14.505173,15.171130,0.307542,15.091549,NaN,NaN,NaN
