el_fle-ext,hum_dep_ele,hum_pro_retra
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
94.58711568572963,23.571945691995495,64.92926328437333
96.63873391929776,15.126225268527435,71.87516897519106
96.63873391929776,15.126225268527435,71.87516897519106
96.63873391929776,15.126225268527435,71.87516897519106
96.63873391929776,15.126225268527435,71.87516897519106
96.67142253658278,15.10507091202885,71.90104069461184
96.69201532213552,15.18521698201215,71.99204256987954
96.63579062893913,15.227565132296832,71.90036267743162
96.73019233123898,15.130263868951118,72.0168857583263
96.62263415745238,15.206492610702071,71.96666713907959
96.69192402935434,15.431298651170778,72.02239275995535
96.6705663806199,15.050132730449604,71.80478610881988
96.70648278516569,15.129967843004465,71.98653152873086
96.69751976291832,15.396656126251969,71.92185304499444
96.74347373077741,15.151171745499,71.92030646767942
96.62164100036617,15.147122757559202,71.80931822780951
96.61483958218463,15.12631316468557,71.87553474297904
96.61516759321653,15.147405690637925,71.80949824337428
96.66904147815052,15.12650821370761,71.8753496884744
96.65207217057363,15.036002825794128,71.7790847222247
96.6387395804034,15.370697680392738,71.87519709468263
96.67310147101753,15.204064503311542,71.84364742231085
96.58673057326055,14.985782263478029,71.72740762537518
96.66368835399183,15.223577515593405,71.87924893430298
96.67877770451148,15.001836461193733,71.74707849908583
96.64889280057513,15.268625545369304,71.84772126763964
96.65369567398021,15.471466343178236,71.96940733868882
96.62905195079779,15.367481493592322,71.87454620567495
96.6104375323469,15.436288250223981,71.96837238029144
96.68567569119948,15.248102658646872,71.96434748045638
96.6018394945209,15.175719454949842,71.79800774716107
96.57698064957711,15.42397482702313,71.93014502570115
96.45442991025449,15.38176966824932,71.6673519195314
96.26294656022587,15.275141312346875,71.46203185741831
96.19488914388475,8.053825730681382,71.40186150646814
95.97590547615808,15.128111221162953,70.9388353489034
98.36738723329711,13.981187522987426,72.6018185456033
96.96858140542676,8.584201739182873,72.29904532160097
96.31785258462251,4.476820149523832,71.77884000651726
96.10126404090906,5.509249999550178,71.76861805283578
96.55629846607117,2.7296840212106304,74.9986154828789
98.24187311446141,6.340824724702031,80.669214964521
98.51262960096902,6.469724071476463,82.65257906084818
98.3728353570007,8.922061675827592,83.32063816931873
90.23272481921978,27.299787199988458,64.04170707052324
88.009318305147,34.14266354465471,72.0283292028011
92.44340925008645,38.97226527876657,59.1311864957557
95.75288782279877,13.942037666743715,66.11598963305418
90.21343826752972,32.26784448817804,53.805688370849154
87.8601974218658,22.74445353699477,58.79066794768599
91.92689339693911,26.321351515846402,69.9059260877045
86.13329715190098,26.197644971013546,66.83434357932053
89.62968377187485,34.27967010193365,56.90438575986694
87.03310375268215,25.137036026461942,59.916248945314024
89.12829189237699,18.79515229945946,69.3698068444459
86.84932213519795,24.316929144707416,66.87489871034944
89.1435282969993,16.499295141222802,75.68216911668897
86.72743148370895,24.809519280389082,70.42991648355809
83.18149329413997,25.93981518844737,69.00053073429079
86.9666645070637,16.633300565878557,76.10308698182862
86.78354582784041,26.458946654766635,71.23363857117653
