pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z,pt5_X,pt5_Y,pt5_Z,pt6_X,pt6_Y,pt6_Z,pt7_X,pt7_Y,pt7_Z
18.217936,3.819003,20.089922,19.027611,3.655385,20.276629,18.979873,3.795142,19.334537,18.557638,1.595712,17.622155,19.485383,1.57315,16.849552,18.326386,0.957081,16.154089,17.606344,0.108985,15.817667
18.205666,3.833947,20.104264,19.060649,3.66374,20.27723,18.990731,3.788976,19.316838,18.5224,1.605249,17.558989,19.530058,1.559121,16.897218,18.307321,0.870843,16.198726,17.599061,0.122588,15.911372
18.205666,3.833947,20.104264,19.060649,3.66374,20.27723,18.990731,3.788976,19.316838,18.5224,1.605249,17.558989,19.530058,1.559121,16.897218,18.307321,0.870843,16.198726,17.599061,0.122588,15.911372
18.204988,3.834937,20.102767,19.059965,3.664731,20.275732,18.990731,3.788976,19.316838,18.5224,1.605249,17.558989,19.530058,1.559121,16.897218,18.307321,0.870843,16.198726,17.599061,0.122588,15.911372
18.204988,3.834937,20.102767,19.059965,3.664731,20.275732,18.99005,3.789963,19.315353,18.5224,1.605249,17.558989,19.530058,1.559121,16.897218,18.307321,0.870843,16.198726,17.599061,0.122588,15.911372
18.205633,3.834466,20.104717,19.060617,3.664261,20.277678,18.990731,3.788976,19.316838,18.5224,1.605249,17.558989,19.530058,1.559121,16.897218,18.307321,0.870843,16.198726,17.599061,0.122588,15.911372
18.205666,3.833947,20.104264,19.060649,3.66374,20.27723,18.990698,3.789492,19.317288,18.5224,1.605249,17.558989,19.530021,1.559628,16.897676,18.307321,0.870843,16.198726,17.599061,0.122588,15.911372
18.204956,3.835456,20.10322,19.059965,3.664731,20.275732,18.990018,3.790479,19.315804,18.5224,1.605249,17.558989,19.530021,1.559628,16.897676,18.307321,0.870843,16.198726,17.599061,0.122588,15.911372
18.204988,3.834937,20.102767,19.059965,3.664731,20.275732,18.99005,3.789963,19.315353,18.5224,1.605249,17.558989,19.530058,1.559121,16.897218,18.307321,0.870843,16.198726,17.599061,0.122588,15.911372
18.204956,3.835456,20.10322,19.059965,3.664731,20.275732,18.990018,3.790479,19.315804,18.5224,1.605249,17.558989,19.530058,1.559121,16.897218,18.307321,0.870843,16.198726,17.599061,0.122588,15.911372
