pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z,pt5_X,pt5_Y,pt5_Z,pt6_X,pt6_Y,pt6_Z,pt7_X,pt7_Y,pt7_Z,pt8_X,pt8_Y,pt8_Z
5.764209,4.241414,13.933519,6.351591,3.815651,14.461362,6.499718,4.097620,13.462204,6.647317,1.763308,11.363097,7.154619,1.003811,10.664699,5.588646,0.382416,10.505601,4.121155,0.519948,10.699406,NaN,NaN,NaN
5.784467,4.275068,13.898704,6.378538,3.856508,14.412186,6.539040,4.114477,13.458828,6.661125,1.672422,11.419088,7.146624,1.017195,10.692021,5.623289,0.424738,10.439242,4.137795,0.508948,10.714085,NaN,NaN,NaN
5.825927,4.333246,13.822030,6.400035,3.893856,14.375324,6.615393,4.133329,13.449303,6.595751,1.778928,11.271915,7.151174,0.987887,10.665593,5.631527,0.436010,10.424080,4.151217,0.499944,10.727525,NaN,NaN,NaN
5.836047,4.350059,13.804637,6.418278,3.935198,14.348829,6.641872,4.151739,13.460204,6.729816,1.681956,11.394914,7.160723,0.994106,10.714336,5.641705,0.450859,10.405821,4.166298,0.481214,10.752458,NaN,NaN,NaN
5.882752,4.304537,13.878052,6.485368,3.924496,14.470061,6.674341,4.175134,13.460134,6.661735,1.662140,11.408864,7.060566,1.105655,10.601713,5.668170,0.416373,10.397694,4.183640,0.455892,10.785424,NaN,NaN,NaN
5.893397,4.323800,13.860519,6.507634,3.957326,14.428869,6.747280,4.205269,13.457171,6.757445,1.685213,11.483614,7.102323,1.165021,10.558993,5.677994,0.442326,10.389912,4.206118,0.412174,10.840742,NaN,NaN,NaN
6.021588,4.163595,14.100324,6.519114,3.975372,14.408189,6.772958,4.222786,13.453592,6.732460,1.707235,11.404302,7.154593,1.233656,10.497604,5.721567,0.412872,10.433277,4.213731,0.394024,10.859975,NaN,NaN,NaN
6.068316,4.251826,14.029857,6.543121,4.010897,14.363842,6.793432,4.233443,13.452665,6.939665,1.715410,11.311174,7.167423,1.231744,10.502088,5.742551,0.483530,10.331448,4.224738,0.377508,10.875167,NaN,NaN,NaN
6.084481,4.283150,14.004110,6.589052,4.043579,14.361312,6.818693,4.245701,13.447358,6.849646,1.749974,11.342269,7.182660,1.227897,10.510230,5.754890,0.500430,10.308720,4.331648,0.475510,10.736195,NaN,NaN,NaN
6.098535,4.304710,13.978872,6.638673,4.125066,14.273598,6.851079,4.264962,13.426633,6.821346,1.715200,11.397661,7.219110,1.189625,10.565522,5.872405,0.383061,10.554024,4.402921,0.494385,10.704178,NaN,NaN,NaN
6.114166,4.328147,13.950527,6.720078,4.059145,14.416356,6.907337,4.264213,13.429110,6.860545,1.752366,11.315406,7.232878,1.191975,10.558889,5.857880,0.428093,10.436713,4.461793,0.539302,10.637424,NaN,NaN,NaN
6.159018,4.391793,13.867384,6.704735,4.127361,14.294545,6.924224,4.274651,13.426601,6.859335,1.772946,11.335784,7.247362,1.196919,10.548361,5.858265,0.506491,10.302556,4.474981,0.533213,10.638352,NaN,NaN,NaN
6.191506,4.382608,13.887533,6.722658,4.153778,14.261308,6.943061,4.288732,13.417019,6.912649,1.827500,11.225823,7.281564,1.229464,10.500613,5.862740,0.513783,10.294892,4.484838,0.523149,10.641977,NaN,NaN,NaN
6.204750,4.403212,13.863868,6.743896,4.184789,14.221776,6.965212,4.308020,13.397780,6.901102,1.667933,11.383244,7.289932,1.225915,10.497437,5.864598,0.511832,10.289162,4.491364,0.509109,10.648298,NaN,NaN,NaN
NaN,NaN,NaN,6.757004,4.202376,14.196607,7.001758,4.347233,13.350916,6.847616,1.714434,11.322665,7.296927,1.219882,10.496889,5.914335,0.410392,10.356855,4.493375,0.495396,10.640535,NaN,NaN,NaN
6.344397,4.594226,13.601199,6.769497,4.219831,14.172962,7.016318,4.358160,13.339423,6.914635,1.695609,11.365756,7.303027,1.211088,10.496937,5.916559,0.410096,10.351040,4.494689,0.494198,10.636140,NaN,NaN,NaN
6.353147,4.607660,13.585475,6.783997,4.238485,14.144721,7.030838,4.363231,13.331955,6.942909,1.730406,11.310349,7.306360,1.202567,10.493422,5.918583,0.396219,10.334886,4.495352,0.487081,10.633295,NaN,NaN,NaN
6.361547,4.619469,13.569837,6.800851,4.259970,14.111796,7.044534,4.370698,13.317291,6.971777,1.754914,11.244766,7.306800,1.189812,10.491745,5.903929,0.442746,10.319082,4.496434,0.476954,10.634752,NaN,NaN,NaN
6.371170,4.631528,13.551183,6.819098,4.282524,14.075798,7.061095,4.377707,13.297993,6.860589,1.794122,11.181716,7.307121,1.175257,10.489145,5.919193,0.413982,10.350198,4.495124,0.471608,10.627259,NaN,NaN,NaN
6.381403,4.643711,13.531022,6.828788,4.292359,14.055614,7.077785,4.388868,13.269907,6.860589,1.794122,11.181716,7.301026,1.145406,10.491930,5.919278,0.396506,10.337167,4.494232,0.463251,10.624067,NaN,NaN,NaN
6.390499,4.653332,13.512497,6.838129,4.300562,14.035521,7.103872,4.405376,13.220030,7.001390,1.687897,11.201690,7.300992,1.131898,10.483098,5.918413,0.390009,10.336044,4.492391,0.452626,10.621927,NaN,NaN,NaN
6.424245,4.690496,13.444495,6.845634,4.308378,14.019985,7.113245,4.404946,13.204581,6.975148,1.730450,11.142956,7.300852,1.106408,10.452575,5.916398,0.380892,10.336513,4.490956,0.444321,10.616355,NaN,NaN,NaN
6.429052,4.693810,13.433810,6.854361,4.316451,14.001413,7.136344,4.376129,13.219276,6.975148,1.730450,11.142956,7.300697,1.094176,10.449027,5.913597,0.370813,10.338489,4.489240,0.436655,10.612292,NaN,NaN,NaN
6.434121,4.695629,13.421697,6.864309,4.324783,13.979805,7.147908,4.368378,13.186503,6.976364,1.709906,11.122576,7.300989,1.080762,10.443568,5.909278,0.356458,10.342138,4.487433,0.426702,10.606799,NaN,NaN,NaN
6.469486,4.627769,13.455961,6.887758,4.290283,13.960978,7.157090,4.368249,13.168186,6.956887,1.620002,11.127414,7.301607,1.063703,10.438617,5.894873,0.342012,10.346655,4.486311,0.410572,10.606594,NaN,NaN,NaN
6.419161,4.801035,13.412805,6.899349,4.302821,13.921616,7.165189,4.368363,13.137426,6.949255,1.632549,11.153496,7.301686,1.044151,10.433806,5.852052,0.407938,10.265903,4.485163,0.391179,10.603979,NaN,NaN,NaN
6.420875,4.799579,13.389031,6.908107,4.307343,13.892473,7.184658,4.381592,13.080121,6.923028,1.675128,11.094770,7.292370,1.010612,10.431708,5.848460,0.390577,10.260756,4.480548,0.368025,10.584708,NaN,NaN,NaN
6.423235,4.795822,13.368649,6.916389,4.308422,13.862517,7.185588,4.378268,13.059356,6.923636,1.664843,11.084596,7.294617,0.979937,10.402447,5.844698,0.371227,10.258507,4.477306,0.343061,10.581007,NaN,NaN,NaN
6.427451,4.785723,13.345379,6.922296,4.301756,13.837365,7.185068,4.375975,13.039691,6.940110,1.619153,11.012168,7.294463,0.968364,10.395554,5.842625,0.358134,10.251692,4.476408,0.329587,10.574547,NaN,NaN,NaN
6.463000,4.787265,13.276256,6.924776,4.274207,13.810161,7.183935,4.375285,13.015238,6.932821,1.681477,10.992137,7.296930,0.955859,10.388444,5.841416,0.341337,10.247738,4.474900,0.315980,10.569548,NaN,NaN,NaN
6.461256,4.785955,13.257685,6.923760,4.263162,13.787861,7.167999,4.393676,12.961559,6.898958,1.684574,10.851674,7.299068,0.941872,10.377599,5.834425,0.307494,10.245612,4.474372,0.302993,10.565868,NaN,NaN,NaN
6.459238,4.780424,13.240698,6.923749,4.252888,13.763004,7.167873,4.380583,12.941165,6.863126,1.587523,10.884070,7.304123,0.925120,10.360845,5.834074,0.283177,10.233433,4.473547,0.294821,10.558829,NaN,NaN,NaN
6.459147,4.765657,13.222797,6.923064,4.246051,13.734232,7.165662,4.370615,12.917562,6.864565,1.533618,10.854259,7.304815,0.879545,10.334478,5.832883,0.267050,10.226133,4.472704,0.282956,10.557152,NaN,NaN,NaN
6.464515,4.722196,13.198811,6.934173,4.224955,13.686067,7.166327,4.360227,12.883184,6.868895,1.522587,10.838767,7.311216,0.870232,10.322153,5.831948,0.257735,10.214868,4.472108,0.261999,10.538803,NaN,NaN,NaN
6.468971,4.673145,13.166352,6.942187,4.238504,13.638426,7.166551,4.349916,12.853647,6.875321,1.515954,10.820101,7.315527,0.856493,10.313003,5.830197,0.247944,10.205595,4.469459,0.254595,10.533283,NaN,NaN,NaN
6.465877,4.657870,13.149715,6.932299,4.228420,13.618481,7.164263,4.337167,12.828194,6.885200,1.514581,10.792028,7.353307,0.842097,10.302270,5.829614,0.237076,10.200077,4.467522,0.245425,10.532610,NaN,NaN,NaN
6.461764,4.648050,13.135936,6.900912,4.247917,13.557964,7.161099,4.317119,12.818839,6.898522,1.517469,10.752447,7.354959,0.823253,10.290233,5.830709,0.225511,10.192945,4.466179,0.239407,10.528463,NaN,NaN,NaN
6.459252,4.638496,13.121506,6.897102,4.230741,13.535661,7.156226,4.309405,12.795896,6.901893,1.490993,10.720398,7.349991,0.790855,10.288166,5.829326,0.217375,10.183592,4.463851,0.230445,10.528717,NaN,NaN,NaN
6.456299,4.630736,13.105632,6.894197,4.215744,13.518465,7.150587,4.305628,12.774417,6.890712,1.449182,10.729604,7.351509,0.762124,10.250277,5.829876,0.202113,10.171218,4.463643,0.227523,10.523480,NaN,NaN,NaN
6.451182,4.621591,13.090971,6.894799,4.186007,13.490027,7.143744,4.296498,12.752709,6.892412,1.438428,10.717682,7.356297,0.751847,10.241958,5.826985,0.180187,10.161907,4.462531,0.217662,10.523673,NaN,NaN,NaN
6.451088,4.582730,13.062019,6.888767,4.173261,13.476020,7.140804,4.278901,12.729853,6.895843,1.429763,10.706026,7.359897,0.741302,10.236579,5.826649,0.169171,10.155376,4.459070,0.206764,10.522157,NaN,NaN,NaN
6.446117,4.571991,13.036362,6.881399,4.153901,13.455144,7.144600,4.260600,12.686340,6.898538,1.420968,10.688710,7.362809,0.733409,10.227446,5.826204,0.160781,10.147445,4.458673,0.201855,10.519820,NaN,NaN,NaN
6.438985,4.561303,13.008498,6.878871,4.142355,13.425322,7.154265,4.276247,12.617302,6.900370,1.400396,10.656600,7.362740,0.718318,10.222077,5.826190,0.153071,10.138461,4.457889,0.198316,10.515550,NaN,NaN,NaN
6.427700,4.561684,12.980297,6.876839,4.109543,13.390951,7.128707,4.293069,12.574926,6.902611,1.390749,10.644175,7.361896,0.702928,10.214884,5.826911,0.146137,10.131801,4.456244,0.194791,10.513764,NaN,NaN,NaN
6.394946,4.601836,12.914376,6.867744,4.105878,13.372176,7.118346,4.284639,12.563681,6.903173,1.376004,10.633493,7.362747,0.684989,10.205209,5.826370,0.141744,10.122845,4.453041,0.188865,10.514487,NaN,NaN,NaN
6.390871,4.591848,12.899632,6.854808,4.103768,13.350400,7.112222,4.276207,12.548154,6.889931,1.335063,10.645262,7.359650,0.647259,10.182238,5.826985,0.131845,10.118109,4.452896,0.183811,10.511123,NaN,NaN,NaN
6.392651,4.554676,12.877647,6.828671,4.126183,13.299490,7.106102,4.261803,12.535588,6.887749,1.323911,10.640445,7.361132,0.639229,10.177065,5.826610,0.127604,10.112455,4.450303,0.175168,10.491893,NaN,NaN,NaN
6.385897,4.545161,12.867494,6.823195,4.109113,13.282221,7.102865,4.244989,12.521374,6.890027,1.319558,10.627421,7.363388,0.632167,10.170376,5.827052,0.123840,10.104810,4.449673,0.172945,10.488071,NaN,NaN,NaN
6.381205,4.536133,12.848983,6.819828,4.100715,13.267347,7.103816,4.239207,12.478875,6.891766,1.314100,10.614902,7.364635,0.626337,10.163239,5.828421,0.115393,10.099053,4.448757,0.170189,10.488626,NaN,NaN,NaN
6.376075,4.521266,12.832111,6.813575,4.087873,13.257207,7.097807,4.227983,12.455402,6.893749,1.299315,10.589804,7.366297,0.619141,10.158019,5.829324,0.109987,10.096064,4.448360,0.165282,10.486285,NaN,NaN,NaN
6.369642,4.510993,12.813307,6.809742,4.057865,13.233574,7.087321,4.223739,12.440282,6.895760,1.296974,10.578649,7.366919,0.613661,10.152837,5.829734,0.106711,10.088905,4.448425,0.164311,10.485299,NaN,NaN,NaN
6.368384,4.480001,12.793399,6.800464,4.051030,13.224555,7.060138,4.248715,12.393169,6.896752,1.293814,10.570026,7.367391,0.606864,10.147215,5.829373,0.101307,10.086106,4.446902,0.162587,10.484455,NaN,NaN,NaN
6.360802,4.478471,12.779790,6.792379,4.044944,13.213001,7.052659,4.242986,12.383504,6.899324,1.291431,10.561229,7.366495,0.598965,10.144578,5.828797,0.095561,10.083835,4.446240,0.160849,10.481125,NaN,NaN,NaN
6.352024,4.476197,12.768706,6.784470,4.039676,13.201403,7.043836,4.234598,12.379280,6.899328,1.286969,10.554654,7.367563,0.591634,10.140827,5.829310,0.093410,10.080950,4.445258,0.159064,10.482666,NaN,NaN,NaN
6.320188,4.519294,12.705605,6.774990,4.041116,13.183531,7.036748,4.228906,12.371932,6.898861,1.284833,10.547132,7.366308,0.588539,10.134832,5.829237,0.089959,10.082385,4.444498,0.158783,10.480816,NaN,NaN,NaN
6.314810,4.515327,12.699028,6.746234,4.076417,13.133089,7.030582,4.211433,12.376193,6.898979,1.281510,10.544826,7.365735,0.561762,10.107482,5.829056,0.090971,10.076229,4.444626,0.155681,10.481699,NaN,NaN,NaN
6.310510,4.508088,12.694818,6.741366,4.068311,13.126576,7.008822,4.189201,12.398491,6.897577,1.276441,10.541724,7.366624,0.559398,10.103668,5.827581,0.087582,10.077779,4.443227,0.156915,10.478943,NaN,NaN,NaN
6.305186,4.502023,12.690191,6.737458,4.061964,13.118471,7.001165,4.187765,12.392083,6.896452,1.275143,10.536643,7.366083,0.556897,10.103810,5.827815,0.086061,10.076396,4.443715,0.155248,10.476540,NaN,NaN,NaN
6.300223,4.496758,12.685528,6.732658,4.057486,13.113767,6.993752,4.184200,12.387642,6.893022,1.270479,10.535627,7.365753,0.555416,10.100079,5.827942,0.084116,10.074448,4.442546,0.152636,10.478123,NaN,NaN,NaN
6.295050,4.491998,12.681335,6.728526,4.051031,13.109517,6.987319,4.181903,12.381137,6.890932,1.266734,10.535451,7.365212,0.552915,10.100221,5.827263,0.086116,10.074032,4.441940,0.153667,10.476724,NaN,NaN,NaN
6.289162,4.491308,12.674738,6.727440,4.026438,13.093170,6.980948,4.183488,12.373616,6.888971,1.266828,10.533224,7.359580,0.547129,10.104682,5.826807,0.082171,10.072693,4.443223,0.152958,10.472822,NaN,NaN,NaN
6.285452,4.483581,12.672402,6.721958,4.023316,13.091402,6.975071,4.182292,12.366579,6.886934,1.261452,10.535422,7.359400,0.546295,10.104730,5.827670,0.081000,10.073069,4.442239,0.150011,10.477220,NaN,NaN,NaN
6.285949,4.455641,12.664691,6.716875,4.020839,13.088589,6.968958,4.180641,12.363913,6.883124,1.261398,10.534867,7.358150,0.547662,10.105300,5.826270,0.081062,10.073184,4.441511,0.149245,10.474876,NaN,NaN,NaN
6.281933,4.451789,12.658973,6.712972,4.018487,13.086637,6.964176,4.181890,12.359093,6.868062,1.230054,10.554268,7.361162,0.555053,10.097715,5.826422,0.082377,10.073630,4.441514,0.150406,10.472019,NaN,NaN,NaN
6.278453,4.448152,12.658931,6.707966,4.018802,13.085692,6.943242,4.208234,12.322385,6.865262,1.230158,10.554526,7.359106,0.556604,10.096950,5.826375,0.084027,10.071262,4.441138,0.147590,10.474960,NaN,NaN,NaN
6.273634,4.450392,12.655040,6.705807,4.019152,13.080600,6.939474,4.207676,12.321362,6.863421,1.232052,10.553223,7.358067,0.558322,10.096986,5.824837,0.081611,10.073786,4.440565,0.148136,10.473067,NaN,NaN,NaN
6.270068,4.450170,12.653476,6.698975,4.019086,13.084165,6.937683,4.209409,12.312934,6.863130,1.235206,10.552231,7.356996,0.560523,10.097509,5.826702,0.079207,10.074615,4.440378,0.147309,10.473109,NaN,NaN,NaN
6.266629,4.451746,12.652822,6.672708,3.996264,13.126374,6.934774,4.200892,12.309241,6.861102,1.235611,10.554316,7.354972,0.560922,10.099595,5.826422,0.082377,10.073630,4.441052,0.146469,10.470665,NaN,NaN,NaN
6.263165,4.453816,12.652644,6.668633,3.997093,13.130616,6.932126,4.202288,12.309955,6.860363,1.239946,10.555236,7.355842,0.565573,10.099845,5.825774,0.083891,10.072726,4.440224,0.145996,10.472658,NaN,NaN,NaN
6.258940,4.454457,12.653527,6.665825,3.997187,13.130894,6.928521,4.201930,12.312252,6.858155,1.239524,10.557367,7.353012,0.566157,10.100594,5.825806,0.083404,10.072239,4.439650,0.146542,10.470765,NaN,NaN,NaN
6.256881,4.455370,12.656110,6.664582,3.997428,13.134379,6.926641,4.203648,12.314795,6.859153,1.246608,10.555208,7.352302,0.570024,10.101022,5.825293,0.085556,10.075124,4.439431,0.146200,10.471300,NaN,NaN,NaN
6.255043,4.457213,12.654805,6.660487,4.000491,13.132797,6.924573,4.205657,12.314498,6.858053,1.249287,10.556217,7.352006,0.573192,10.100031,5.824444,0.088104,10.075116,4.440005,0.145654,10.473193,NaN,NaN,NaN
6.253925,4.459256,12.659184,6.660204,4.002491,13.134690,6.922707,4.206267,12.319928,6.856386,1.251348,10.558214,7.350936,0.574724,10.103892,5.825477,0.086384,10.075083,4.438450,0.144415,10.472842,NaN,NaN,NaN
