pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z,pt5_X,pt5_Y,pt5_Z,pt6_X,pt6_Y,pt6_Z,pt7_X,pt7_Y,pt7_Z
26.270694,3.662954,17.573459,26.858988,3.541520,17.909514,26.953821,3.715842,17.053379,27.375585,1.716123,15.511143,28.262366,1.496726,15.035156,27.196400,0.553220,14.107870,26.029281,-0.021384,14.117867
26.281450,3.702127,17.528966,26.804040,3.568466,17.916966,26.910507,3.699555,17.070262,27.420283,1.735802,15.516526,28.303173,1.532996,14.958745,27.191041,0.477623,14.235845,26.002766,-0.039000,14.066527
26.282198,3.701656,17.530830,26.804040,3.568466,17.916966,26.911275,3.698586,17.071668,27.420263,1.736293,15.516983,28.302682,1.532809,14.960392,27.191041,0.477623,14.235845,26.002766,-0.039000,14.066527
26.281433,3.702628,17.529416,26.804040,3.568466,17.916966,26.910489,3.700051,17.070714,27.420263,1.736293,15.516983,28.303296,1.533903,14.958637,27.191041,0.477623,14.235845,26.002766,-0.039000,14.066527
26.282216,3.701155,17.530381,26.804147,3.569860,17.917313,26.911275,3.698586,17.071668,27.420886,1.737382,15.515227,28.303275,1.534393,14.959092,27.191813,0.476628,14.237229,26.003531,-0.040003,14.067915
26.280811,3.703987,17.527452,26.803394,3.570331,17.915445,26.910507,3.699555,17.070262,27.420907,1.736890,15.514770,28.302661,1.533299,14.960847,27.191147,0.479020,14.236199,26.002766,-0.039000,14.066527
26.281523,3.704518,17.530215,26.803358,3.571336,17.916343,26.910595,3.701440,17.071062,27.419615,1.738182,15.515482,28.301883,1.534282,14.959462,27.191919,0.478025,14.237584,26.002766,-0.039000,14.066527
26.281538,3.706947,17.526475,26.804115,3.573303,17.914454,26.911225,3.702511,17.069289,27.419615,1.738182,15.515482,28.302497,1.535376,14.957707,27.191919,0.478025,14.237584,26.002766,-0.039000,14.066527
26.280114,3.710280,17.523996,26.803451,3.575670,17.913382,26.910563,3.704869,17.068230,27.419615,1.738182,15.515482,28.301985,1.535679,14.959809,27.192543,0.479120,14.235848,26.002634,-0.039909,14.066631
26.280204,3.712171,17.524796,26.803416,3.576676,17.914280,26.909882,3.707723,17.067624,27.419594,1.738674,15.515939,28.301985,1.535679,14.959809,27.193315,0.478126,14.237232,26.002657,-0.040396,14.066166
26.279655,3.715921,17.524081,26.802876,3.579934,17.913107,26.909989,3.709113,17.067971,27.419096,1.738489,15.517589,28.301186,1.537152,14.958879,27.193337,0.477637,14.236772,26.003316,-0.039789,14.063978
26.279598,3.720354,17.522139,26.803580,3.583409,17.912564,26.909170,3.714006,17.064186,27.418449,1.740378,15.516088,28.301310,1.538059,14.958772,27.193315,0.478126,14.237232,26.003339,-0.040277,14.063513
26.280559,3.725591,17.521411,26.803793,3.586196,17.913258,26.909364,3.717281,17.065333,27.417655,1.741854,15.515151,28.300511,1.539532,14.957841,27.193961,0.478733,14.235036,26.003316,-0.039789,14.063978
26.278587,3.732673,17.518218,26.803342,3.591350,17.912880,26.909403,3.723091,17.063754,27.417611,1.745323,15.512351,28.299836,1.541913,14.956804,27.193961,0.478733,14.235036,26.003339,-0.040277,14.063513
26.278376,3.743018,17.514813,26.803773,3.599362,17.910512,26.909583,3.729297,17.061617,27.417842,1.747623,15.512594,28.297768,1.544182,14.956136,27.193984,0.478245,14.234576,26.003363,-0.040764,14.063048
26.278528,3.753600,17.514846,26.803641,3.608696,17.911175,26.908435,3.737783,17.061100,27.416400,1.750987,15.510157,28.296191,1.546638,14.953820,27.194480,0.478432,14.232945,26.003254,-0.042159,14.062687
26.277869,3.772453,17.512351,26.803603,3.622363,17.908878,26.908024,3.748727,17.059156,27.414461,1.754167,15.509368,28.293469,1.550797,14.951660,27.193084,0.478331,14.233297,26.003277,-0.042647,14.062222
26.280339,3.801912,17.512273,26.804555,3.640719,17.909523,26.909001,3.763164,17.058095,27.412999,1.758023,15.507387,28.289825,1.555522,14.948677,27.192335,0.478838,14.231452,26.002379,-0.042552,14.060938
26.278105,3.825222,17.510076,26.803526,3.675891,17.907065,26.905704,3.791442,17.052252,27.412287,1.763872,15.503544,28.286817,1.560850,14.943484,27.191563,0.479833,14.230068,26.002403,-0.043039,14.060473
26.274092,3.853088,17.508299,26.801967,3.699806,17.907565,26.903816,3.821200,17.059635,27.411077,1.769535,15.501351,28.280964,1.569429,14.936240,27.190019,0.481823,14.227300,26.001638,-0.042036,14.059085
26.272137,3.866980,17.504416,26.800336,3.716916,17.903779,26.901916,3.842771,17.054099,27.409073,1.776674,15.498220,28.275009,1.582459,14.927114,27.188476,0.483812,14.224532,26.003038,-0.041946,14.058749
26.266233,3.884832,17.493569,26.796952,3.733182,17.896465,26.897860,3.861814,17.046280,27.405903,1.786007,15.495695,28.266886,1.596360,14.916975,27.186308,0.484706,14.223499,26.001638,-0.042036,14.059085
26.256884,3.907266,17.478649,26.792041,3.748454,17.889624,26.894449,3.878996,17.039971,27.403466,1.795339,15.495478,28.233160,1.645524,14.862881,27.184894,0.487605,14.220625,26.001747,-0.040641,14.059446
26.236305,3.943578,17.446089,26.783389,3.769973,17.876044,26.887874,3.895726,17.030978,27.399087,1.810333,15.490760,28.229154,1.656808,14.859908,27.182083,0.490402,14.218103,26.000982,-0.039638,14.058058
26.229556,3.971119,17.438190,26.749624,3.826274,17.821414,26.854585,3.951018,16.975352,27.393104,1.826283,15.488339,28.223715,1.668961,14.858214,27.178479,0.494682,14.214658,26.001115,-0.038730,14.057954
26.223127,4.019721,17.434479,26.743611,3.853885,17.820753,26.848384,3.972348,16.972837,27.388008,1.882448,15.505098,28.212090,1.699377,14.863315,27.174874,0.498962,14.211212,25.999059,-0.036422,14.057263
26.215904,4.065519,17.434480,26.738190,3.903976,17.820333,26.840191,4.008020,16.966926,27.339870,1.948901,15.421872,28.201156,1.717454,14.856053,27.170627,0.505145,14.206278,25.998247,-0.034445,14.056805
26.207768,4.089573,17.425672,26.734171,3.935586,17.817495,26.833466,4.043698,16.957854,27.289611,2.019066,15.335404,28.187063,1.758164,14.849774,27.164191,0.512709,14.200771,25.998356,-0.033050,14.057166
26.194927,4.118537,17.408502,26.726273,3.959970,17.807079,26.822683,4.083297,16.955111,27.280015,2.035859,15.327360,28.144450,1.810836,14.797722,27.158508,0.522276,14.193425,25.996277,-0.030255,14.056940
26.237278,4.218110,17.514805,26.793781,4.164543,17.564324,26.840472,4.171950,16.850314,27.271816,2.050279,15.322660,28.133875,1.819792,14.804118,27.151683,0.531048,14.189904,25.995598,-0.027370,14.056377
26.179658,4.290956,17.408359,26.746422,4.239633,17.538966,26.804502,4.210446,16.799289,27.264369,2.066682,15.316104,28.123785,1.835813,14.798283,27.115158,0.584197,14.129897,25.993652,-0.023667,14.056047
26.178355,4.328722,17.442189,26.723631,4.268642,17.574239,26.779766,4.190849,16.820097,27.257405,2.082231,15.316987,28.108906,1.863128,14.783188,27.110074,0.596762,14.126634,25.991682,-0.019478,14.056182
26.178355,4.328722,17.442189,26.696449,4.245504,17.605130,26.768165,4.268670,16.798501,27.246008,2.101988,15.318092,28.083205,1.905695,14.781315,27.104068,0.609899,14.122554,25.989582,-0.013192,14.053205
26.121065,4.383894,17.504340,26.657516,4.259039,17.605614,26.695652,4.282023,16.810346,27.235130,2.140081,15.340713,28.028356,1.938442,14.774111,27.097550,0.625843,14.116883,25.987110,-0.009188,14.054960
26.074212,4.424176,17.435581,26.622679,4.312475,17.551061,26.691208,4.350733,16.793084,27.216104,2.183781,15.340366,28.018027,1.961974,14.767244,27.089615,0.642171,14.112022,25.985143,-0.001995,14.051880
26.109408,4.444728,17.491973,26.644629,4.427691,17.457969,26.656646,4.373938,16.845241,27.146377,2.218876,15.316929,27.997769,2.023993,14.752718,27.086591,0.689994,14.106375,25.982999,0.006195,14.054718
26.020954,4.484168,17.478182,26.592901,4.473317,17.497009,26.612137,4.410320,16.856983,27.083572,2.299228,15.226400,27.949954,2.090027,14.699411,27.067519,0.734726,14.111275,25.979700,0.019600,14.054934
25.991259,4.548840,17.450319,26.522125,4.539261,17.543490,26.570919,4.470347,16.806113,27.037675,2.364404,15.160462,27.928006,2.126696,14.714503,27.025870,0.782081,14.063008,25.978573,0.039029,14.054656
25.962225,4.594599,17.405570,26.480416,4.603646,17.478641,26.523326,4.546394,16.739925,27.012960,2.408728,15.133414,27.901762,2.151839,14.702090,27.014998,0.795270,14.063095,25.975792,0.075890,14.057817
25.925858,4.692391,17.409026,26.450608,4.663138,17.445720,26.501869,4.599335,16.720448,26.998623,2.457763,15.145991,27.849080,2.219399,14.653445,26.999976,0.808611,14.068658,25.969167,0.110707,14.077548
25.856633,4.834908,17.298950,26.434252,4.692804,17.424648,26.472103,4.656910,16.720199,26.983317,2.496554,15.153615,27.810693,2.238177,14.701457,26.970280,0.799479,14.116370,25.963939,0.120385,14.078515
25.856633,4.834908,17.298950,26.389754,4.737606,17.408329,26.413446,4.726221,16.663531,26.963877,2.515386,15.165763,27.779649,2.318742,14.684397,26.958185,0.822760,14.116424,25.926620,0.169088,14.024438
25.824793,4.834108,17.328324,26.368068,4.845427,17.310904,26.355568,4.777635,16.651367,26.917419,2.528178,15.245766,27.732615,2.375412,14.642739,26.912511,0.950712,14.065503,25.919419,0.176950,14.031964
