pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z,pt5_X,pt5_Y,pt5_Z,pt6_X,pt6_Y,pt6_Z,pt7_X,pt7_Y,pt7_Z
25.717661,3.458687,16.846399,26.230125,3.381592,17.233433,26.320998,3.611304,16.216564,26.464992,1.482990,14.756260,27.630466,1.411812,13.414384,NaN,NaN,NaN,25.507632,0.606867,12.480442
25.717699,3.458164,16.845967,26.230163,3.381069,17.233001,26.321699,3.612387,16.214795,26.465691,1.484090,14.754508,27.631177,1.410853,13.415787,NaN,NaN,NaN,25.506978,0.607322,12.478605
25.717699,3.458164,16.845967,26.230163,3.381069,17.233001,26.320998,3.611304,16.216564,26.465821,1.484960,14.754422,27.631305,1.411722,13.415703,NaN,NaN,NaN,25.507632,0.606867,12.480442
25.717699,3.458164,16.845967,26.233957,3.382537,17.221875,26.321699,3.612387,16.214795,26.464951,1.483508,14.756693,27.630619,1.410620,13.417443,NaN,NaN,NaN,25.506935,0.607836,12.479037
25.717699,3.458164,16.845967,26.233957,3.382537,17.221875,26.321661,3.612908,16.215224,26.466528,1.483995,14.755846,27.631177,1.410853,13.415787,NaN,NaN,NaN,25.506935,0.607836,12.479037
25.717661,3.458687,16.846399,26.241924,3.388840,17.199756,26.321826,3.613248,16.214709,26.465780,1.485478,14.754854,27.631177,1.410853,13.415787,NaN,NaN,NaN,25.506935,0.607836,12.479037
25.718364,3.457733,16.847843,26.236233,3.386636,17.216448,26.321826,3.613248,16.214709,26.466487,1.484513,14.756279,27.631305,1.411722,13.415703,NaN,NaN,NaN,25.507767,0.607733,12.480361
25.718364,3.457733,16.847843,26.234626,3.382105,17.223754,26.321826,3.613248,16.214709,26.465780,1.485478,14.754854,27.631305,1.411722,13.415703,NaN,NaN,NaN,25.507069,0.608702,12.478957
25.720779,3.459194,16.841139,26.233919,3.383060,17.222306,26.321826,3.613248,16.214709,26.465739,1.485997,14.755287,27.631263,1.412238,13.416131,NaN,NaN,NaN,25.507767,0.607733,12.480361
25.720817,3.458671,16.840707,26.234626,3.382105,17.223754,26.321826,3.613248,16.214709,26.466487,1.484513,14.756279,27.631974,1.411279,13.417535,NaN,NaN,NaN,25.507767,0.607733,12.480361
25.723813,3.463257,16.833200,26.234626,3.382105,17.223754,26.321826,3.613248,16.214709,26.466576,1.485901,14.756625,27.631974,1.411279,13.417535,NaN,NaN,NaN,25.507767,0.607733,12.480361
25.723775,3.463780,16.833632,26.234588,3.382628,17.224185,26.322528,3.614330,16.212941,26.467316,1.486483,14.754440,27.632015,1.410764,13.417107,NaN,NaN,NaN,25.507589,0.607381,12.480874
25.724355,3.466906,16.832829,26.234626,3.382105,17.223754,26.321826,3.613248,16.214709,26.467275,1.487002,14.754873,27.631974,1.411279,13.417535,NaN,NaN,NaN,25.507724,0.608247,12.480794
25.725058,3.465951,16.834273,26.239254,3.389256,17.212036,26.322528,3.614330,16.212941,26.467275,1.487002,14.754873,27.631974,1.411279,13.417535,NaN,NaN,NaN,25.507724,0.608247,12.480794
25.725058,3.465951,16.834273,26.239254,3.389256,17.212036,26.322528,3.614330,16.212941,26.466576,1.485901,14.756625,27.632015,1.410764,13.417107,NaN,NaN,NaN,25.507724,0.608247,12.480794
25.725020,3.466474,16.834704,26.239254,3.389256,17.212036,26.322528,3.614330,16.212941,26.467981,1.486036,14.756297,27.631287,1.410177,13.419275,NaN,NaN,NaN,25.507724,0.608247,12.480794
25.725020,3.466474,16.834704,26.244588,3.395451,17.201766,26.323233,3.613381,16.214374,26.467316,1.486483,14.754440,27.631974,1.411279,13.417535,NaN,NaN,NaN,25.507767,0.607733,12.480361
25.725058,3.465951,16.834273,26.244588,3.395451,17.201766,26.321861,3.614758,16.211079,26.467981,1.486036,14.756297,27.631974,1.411279,13.417535,NaN,NaN,NaN,25.508426,0.609344,12.479081
25.725058,3.465951,16.834273,26.245421,3.401133,17.201175,26.322528,3.614330,16.212941,26.467981,1.486036,14.756297,27.632725,1.409805,13.418511,NaN,NaN,NaN,25.508470,0.608830,12.478648
25.720978,3.454068,16.842523,26.236167,3.386832,17.224609,26.321826,3.613248,16.214709,26.468022,1.485518,14.755864,27.632684,1.410321,13.418939,NaN,NaN,NaN,25.508470,0.608830,12.478648
25.720978,3.454068,16.842523,26.235498,3.387264,17.222730,26.321826,3.613248,16.214709,26.468022,1.485518,14.755864,27.631974,1.411279,13.417535,NaN,NaN,NaN,25.508470,0.608830,12.478648
25.720313,3.454499,16.840647,26.240087,3.394938,17.211445,26.321826,3.613248,16.214709,26.468022,1.485518,14.755864,27.631201,1.408793,13.418931,NaN,NaN,NaN,25.508470,0.608830,12.478648
25.720313,3.454499,16.840647,26.240125,3.394415,17.211013,26.321699,3.612387,16.214795,26.467892,1.484648,14.755951,27.631159,1.409308,13.419359,NaN,NaN,NaN,25.507632,0.606867,12.480442
25.720313,3.454499,16.840647,26.240125,3.394415,17.211013,26.321826,3.613248,16.214709,26.467981,1.486036,14.756297,27.631974,1.411279,13.417535,NaN,NaN,NaN,25.508470,0.608830,12.478648
25.720313,3.454499,16.840647,26.240125,3.394415,17.211013,26.321160,3.613675,16.212847,26.467892,1.484648,14.755951,27.632039,1.408703,13.420251,NaN,NaN,NaN,25.508470,0.608830,12.478648
25.720275,3.455022,16.841079,26.239380,3.395893,17.209998,26.321788,3.613769,16.215138,26.467851,1.485166,14.756384,27.631869,1.408350,13.420763,NaN,NaN,NaN,25.508470,0.608830,12.478648
25.719572,3.455977,16.839634,26.239380,3.395893,17.209998,26.320995,3.613336,16.213362,26.467144,1.486132,14.754959,27.631974,1.411279,13.417535,NaN,NaN,NaN,25.508335,0.607963,12.478729
25.719572,3.455977,16.839634,26.239380,3.395893,17.209998,26.321699,3.612387,16.214795,26.467981,1.486036,14.756297,27.631287,1.410177,13.419275,NaN,NaN,NaN,25.508470,0.608830,12.478648
25.718869,3.456931,16.838190,26.238673,3.396848,17.208551,26.320382,3.613635,16.215473,26.467932,1.488621,14.753553,27.631932,1.411795,13.417963,NaN,NaN,NaN,25.508335,0.607963,12.478729
25.718128,3.458409,16.837177,26.247599,3.415465,17.183810,26.320420,3.613114,16.215044,26.467940,1.486554,14.756730,27.631915,1.410250,13.421534,NaN,NaN,NaN,25.508426,0.609344,12.479081
25.717387,3.459886,16.836164,26.246854,3.416943,17.182795,26.319681,3.612553,16.217241,26.468029,1.487943,14.757076,27.632001,1.411634,13.421878,NaN,NaN,NaN,25.508426,0.609344,12.479081
25.711578,3.464091,16.847607,26.245440,3.418852,17.179902,26.317573,3.611337,16.219344,26.467370,1.490814,14.756430,27.632047,1.413533,13.422650,NaN,NaN,NaN,25.508518,0.610725,12.479433
25.709432,3.467477,16.843706,26.235596,3.412995,17.192549,26.315465,3.610120,16.221447,26.466013,1.492586,14.757536,27.630072,1.417632,13.422698,NaN,NaN,NaN,25.508518,0.610725,12.479433
25.706506,3.472864,16.839223,26.218771,3.396938,17.223203,26.313446,3.610286,16.223893,26.464656,1.494357,14.758642,27.629366,1.421006,13.422494,NaN,NaN,NaN,25.508609,0.612106,12.479786
25.703618,3.477727,16.834310,26.217348,3.399698,17.213011,26.311469,3.607899,16.229111,26.461893,1.495993,14.760075,27.628101,1.424146,13.423946,NaN,NaN,NaN,25.508701,0.613487,12.480138
25.699287,3.485021,16.826940,26.209972,3.404379,17.210034,26.290818,3.646572,16.218815,26.460536,1.497765,14.761181,27.626213,1.429628,13.424338,NaN,NaN,NaN,25.507960,0.614970,12.479166
25.689186,3.495998,16.830577,26.199635,3.413274,17.217590,26.275599,3.667950,16.208818,26.457196,1.501236,14.761103,27.623570,1.434170,13.422555,NaN,NaN,NaN,25.508003,0.614456,12.478734
25.659516,3.465489,16.883478,26.193085,3.424484,17.206726,26.261698,3.678525,16.206477,26.455099,1.502425,14.764394,27.622434,1.438178,13.423923,NaN,NaN,NaN,25.506555,0.612433,12.478257
25.642825,3.477706,16.888256,26.165009,3.459596,17.159191,26.257166,3.673530,16.218598,26.452426,1.505450,14.766173,27.620436,1.444336,13.420828,NaN,NaN,NaN,25.506463,0.611053,12.477905
25.616057,3.515019,16.834225,26.152693,3.469652,17.165869,26.263500,3.664528,16.284259,26.396389,1.577001,14.577670,27.579269,1.464483,13.302414,25.442900,0.479544,12.560777,25.506329,0.610186,12.477986
25.602652,3.525601,16.848809,26.134051,3.469937,17.185125,26.242339,3.632335,16.351586,26.402726,1.596877,14.564866,27.557686,1.521215,13.295222,25.445342,0.488332,12.557650,25.505674,0.610641,12.476149
25.600709,3.548347,16.837302,26.122805,3.482796,17.198581,26.228028,3.640545,16.346318,26.402887,1.614911,14.573446,27.576101,1.494573,13.328993,25.453030,0.464746,12.592984,25.504231,0.611028,12.476890
25.593721,3.561334,16.839145,26.098663,3.471060,17.240520,26.199809,3.679938,16.319183,26.389447,1.623250,14.566610,27.582408,1.507812,13.370323,25.451121,0.475859,12.586301,25.502831,0.610900,12.477199
25.576024,3.583651,16.855645,26.083977,3.479781,17.238878,26.192826,3.695357,16.335955,26.389545,1.610636,14.596492,27.573648,1.515864,13.348206,25.452021,0.468583,12.596987,25.501484,0.614733,12.475175
25.556076,3.589976,16.861229,26.081918,3.518454,17.197176,26.183897,3.719087,16.349049,26.392438,1.640772,14.601567,27.567272,1.525735,13.337245,25.437052,0.476674,12.596356,25.500084,0.614606,12.475484
25.499133,3.606162,16.845329,26.040723,3.557927,17.156903,26.154468,3.771103,16.330567,26.365630,1.645191,14.636364,27.554465,1.548216,13.317939,25.437771,0.455168,12.618394,25.498775,0.615859,12.476145
25.462877,3.589914,16.901015,26.014536,3.595554,17.197231,26.132630,3.789653,16.326882,26.352708,1.660234,14.612447,27.548390,1.594863,13.321798,25.430687,0.443821,12.636503,25.497423,0.617627,12.477238
25.453825,3.623736,16.893126,25.979777,3.587823,17.245259,26.102087,3.810497,16.339745,26.343459,1.691850,14.623184,27.543326,1.602845,13.323983,25.428406,0.459336,12.633542,25.496114,0.618880,12.477899
25.435919,3.673674,16.903208,25.950751,3.614745,17.281382,26.071003,3.806255,16.397703,26.309884,1.748726,14.581359,27.531351,1.626963,13.321589,25.433741,0.466887,12.636377,25.493319,0.621035,12.479733
25.390804,3.700625,16.930727,25.906112,3.667498,17.225354,26.033287,3.862801,16.368507,26.305324,1.757024,14.599860,27.511536,1.654781,13.292186,25.434448,0.478239,12.639443,25.491356,0.623087,12.482892
25.358873,3.744267,16.877511,25.875370,3.683336,17.253108,26.004573,3.913456,16.362485,26.273728,1.754015,14.647119,27.500048,1.675354,13.286036,25.421954,0.491402,12.615672,25.488695,0.626108,12.484646
25.340020,3.777884,16.880832,25.855283,3.714141,17.251365,25.977261,3.963822,16.363017,26.254380,1.791546,14.638888,27.482179,1.715229,13.293670,25.417449,0.492213,12.593959,25.486688,0.628674,12.488237
25.308442,3.816737,16.874072,25.812970,3.756319,17.278450,25.933383,4.007456,16.361137,26.249678,1.809261,14.662242,27.446241,1.688135,13.362116,25.397842,0.481320,12.617796,25.483287,0.633179,12.489019
25.240533,3.864304,16.904444,25.757387,3.805587,17.279573,25.878560,4.037545,16.388659,26.229488,1.855423,14.659696,27.420330,1.723736,13.425002,25.403629,0.491625,12.622227,25.481507,0.637992,12.492882
25.181967,3.936942,16.881274,25.728701,3.855109,17.295826,25.858036,4.055956,16.394316,26.211282,1.903668,14.652905,27.350386,1.738128,13.551527,25.404706,0.515002,12.612080,25.478332,0.644744,12.493936
25.142374,3.970396,16.913905,25.666969,3.905500,17.270940,25.807051,4.130682,16.360508,26.188669,1.943714,14.638301,27.358492,1.832751,13.462205,25.398731,0.523319,12.600031,25.473848,0.652749,12.495651
25.115859,4.023850,16.920328,25.624947,3.950394,17.313586,25.759854,4.183693,16.372553,26.165658,1.978118,14.640203,27.328217,1.862776,13.506777,25.389535,0.535366,12.618567,25.470153,0.661509,12.503456
25.069740,4.071494,16.955765,25.557428,4.016956,17.310343,25.693256,4.231800,16.377702,26.126441,1.984717,14.715634,27.291572,1.876545,13.523912,25.390261,0.536641,12.616375,25.465507,0.676735,12.513669
24.991196,4.114561,16.974519,25.518043,4.064265,17.322204,25.659785,4.298733,16.410061,26.083431,2.072010,14.682843,27.254499,1.945367,13.533978,25.382517,0.551241,12.630525,25.457886,0.688911,12.519122
24.950717,4.252856,16.888901,25.471521,4.128917,17.361902,25.593820,4.380862,16.399676,26.049562,2.117041,14.671975,27.217026,1.994370,13.554004,25.382145,0.555641,12.634250,25.450351,0.700404,12.528045
24.883358,4.261321,16.968323,25.407015,4.215634,17.344113,25.526979,4.442516,16.427074,26.016615,2.178235,14.665716,27.185459,2.026191,13.549658,25.380746,0.557526,12.656728,25.423361,0.677506,12.583018
24.809120,4.337174,16.946750,25.326261,4.279691,17.340100,25.446414,4.555088,16.371049,25.957809,2.294960,14.645897,27.151624,2.077945,13.560479,25.362861,0.596979,12.643918,25.402320,0.707398,12.557948
24.774935,4.407713,16.937677,25.269698,4.324459,17.373100,25.390648,4.575229,16.448823,25.883540,2.340646,14.677857,27.100676,2.131124,13.590465,25.361461,0.631696,12.647421,25.394403,0.725243,12.563308
24.654783,4.450144,17.015973,25.215679,4.463491,17.286365,25.330834,4.664538,16.439588,25.834157,2.420064,14.663043,27.024128,2.215588,13.609706,25.338854,0.635073,12.670463,25.387290,0.746218,12.571306
24.581997,4.573998,16.981674,25.116281,4.524097,17.329004,25.226175,4.758904,16.451395,25.786982,2.423942,14.724270,27.011962,2.298262,13.530499,25.330431,0.652836,12.704905,25.380847,0.773967,12.584791
24.486591,4.628393,16.994975,25.064487,4.615976,17.337508,25.161146,4.849613,16.431677,25.719697,2.512250,14.701410,26.926720,2.328838,13.608532,25.310376,0.723113,12.732533,25.374164,0.804726,12.591527
24.446679,4.750103,16.994316,24.959817,4.672132,17.375397,25.093174,4.917559,16.463564,25.665281,2.599773,14.688274,26.856021,2.412202,13.630364,25.310535,0.698166,12.754921,25.365193,0.831502,12.599578
24.349960,4.820416,16.979181,24.883960,4.813365,17.335791,25.012664,5.012135,16.495736,25.591945,2.636776,14.745359,26.818504,2.436376,13.658370,25.291227,0.733159,12.779341,25.351101,0.847896,12.623588
24.254045,4.904875,16.977885,24.776446,4.874299,17.358903,24.914827,5.051004,16.526061,25.480610,2.738200,14.729252,26.708186,2.583777,13.625638,25.268493,0.749527,12.807604,25.335258,0.865874,12.650151
24.154639,5.007725,16.986447,24.691041,4.994596,17.350784,24.795218,5.188734,16.484849,25.412917,2.825783,14.739797,26.669966,2.607370,13.654022,25.234120,0.759114,12.852285,25.304932,0.863854,12.709332
24.046818,5.033177,17.098476,24.616737,5.087650,17.366400,24.701280,5.279780,16.476274,25.324307,2.959328,14.703356,26.565444,2.735345,13.644801,25.208706,0.817279,12.836975,25.291798,0.905023,12.725269
23.968750,5.169424,17.044422,24.485993,5.139994,17.420736,24.618924,5.404001,16.487066,25.220326,3.027160,14.731801,26.504396,2.809323,13.685963,25.180940,0.792674,12.897684,25.263184,0.969174,12.707656
23.863822,5.286666,17.052437,24.386379,5.246203,17.412470,24.498019,5.516869,16.504201,25.123251,3.085042,14.770968,26.413391,2.879167,13.780043,25.151522,0.895359,12.881351,25.244117,1.009396,12.743437
23.749929,5.382957,17.064647,24.277802,5.356748,17.413724,24.367004,5.626091,16.535422,25.041989,3.191034,14.764645,26.337793,2.910297,13.811056,25.123967,0.964205,12.895977,25.217768,1.046523,12.792038
23.630331,5.484783,17.091230,24.180135,5.486239,17.388407,24.259569,5.733810,16.553914,24.914959,3.289865,14.779159,26.207795,3.052474,13.838833,25.097488,1.061963,12.887590,25.179456,1.085850,12.859151
23.543840,5.637276,17.021444,24.057063,5.600677,17.412079,24.182560,5.815628,16.580892,24.810731,3.362710,14.830693,26.147712,3.127275,13.806291,25.066704,1.049807,12.980371,25.143687,1.154118,12.888057
23.398280,5.714927,17.089346,23.940292,5.695625,17.397613,24.049618,5.943798,16.574834,24.683238,3.499117,14.812538,26.027319,3.229930,13.837921,24.979194,1.147899,13.028925,25.098043,1.250960,12.890809
23.280937,5.839235,17.081300,23.824826,5.830861,17.391199,23.911275,6.057440,16.576525,24.565299,3.630881,14.813099,25.887692,3.419270,13.886887,24.952997,1.244066,13.016767,25.040940,1.298893,12.981748
23.189022,6.023068,17.039185,23.671909,5.887521,17.471284,23.781285,6.205810,16.530346,24.431864,3.732415,14.838481,25.787895,3.526504,13.925058,24.882740,1.323027,13.087058,24.976862,1.440063,12.979605
23.036587,6.079775,17.113241,23.561060,6.048877,17.456995,23.644956,6.310603,16.565529,24.288496,3.885227,14.828820,25.653864,3.633926,13.913503,24.806708,1.391116,13.182163,24.909094,1.510323,13.082793
22.895962,6.199866,17.137711,23.432762,6.172771,17.446743,23.521929,6.416064,16.548178,24.148700,3.965680,14.826202,25.525858,3.829100,13.887592,24.700647,1.547748,13.179264,24.815694,1.601001,13.120673
22.738125,6.350316,17.090456,23.289994,6.333076,17.378047,23.359166,6.568216,16.552823,24.037651,4.122008,14.827662,25.398505,3.979843,13.948197,24.637240,1.632652,13.279161,24.732099,1.737003,13.098830
22.588622,6.429308,17.123247,23.122183,6.397719,17.481226,23.209476,6.671117,16.572960,23.892350,4.248410,14.851737,25.275897,4.077267,14.004274,24.545929,1.786733,13.276905,24.626642,1.848414,13.143086
22.445042,6.548810,17.156524,22.973058,6.504869,17.529829,23.061996,6.725476,16.633167,23.728756,4.368580,14.849195,25.148445,4.246192,14.005824,24.459245,1.935905,13.378506,24.500849,1.974900,13.189628
