Time,Atlas_tn36
0.005,-0.76131
0.01,-0.75343
0.015,-0.7673399999999999
0.02,-0.74542
0.025,-0.7617
0.030000000000000002,-0.77178
0.035,-0.76644
0.04,-0.75773
0.045,-0.75694
0.049999999999999996,-0.7581600000000001
0.05499999999999999,-0.7721399999999999
0.05999999999999999,-0.75789
0.06499999999999999,-0.74829
0.06999999999999999,-0.74449
0.075,-0.74989
0.08,-0.76844
0.085,-0.7723300000000001
0.09000000000000001,-0.74216
0.09500000000000001,-0.76156
0.10000000000000002,-0.74359
0.10500000000000002,-0.74608
0.11000000000000003,-0.75345
0.11500000000000003,-0.75352
0.12000000000000004,-0.75367
0.12500000000000003,-0.76641
0.13000000000000003,-0.77052
0.13500000000000004,-0.75584
0.14000000000000004,-0.74464
0.14500000000000005,-0.76349
0.15000000000000005,-0.73497
0.15500000000000005,-0.7569899999999999
0.16000000000000006,-0.7407100000000001
0.16500000000000006,-0.7621399999999999
0.17000000000000007,-0.75974
0.17500000000000007,-0.73522
0.18000000000000008,-0.7601100000000001
0.18500000000000008,-0.746
0.19000000000000009,-0.7488199999999999
0.1950000000000001,-0.76268
0.2000000000000001,-0.74895
0.2050000000000001,-0.74944
0.2100000000000001,-0.74003
0.2150000000000001,-0.7319100000000001
0.2200000000000001,-0.7598699999999999
0.22500000000000012,-0.73209
0.23000000000000012,-0.74559
0.23500000000000013,-0.7561100000000001
0.24000000000000013,-0.7483
0.24500000000000013,-0.76386
0.2500000000000001,-0.74469
0.2550000000000001,-0.76327
0.2600000000000001,-0.75107
0.2650000000000001,-0.7590100000000001
0.27000000000000013,-0.75977
0.27500000000000013,-0.73468
0.28000000000000014,-0.76476
0.28500000000000014,-0.75035
0.29000000000000015,-0.76155
0.29500000000000015,-0.76127
0.30000000000000016,-0.7465
0.30500000000000016,-0.7386199999999999
0.31000000000000016,-0.73519
0.31500000000000017,-0.74129
0.3200000000000002,-0.76341
0.3250000000000002,-0.75846
0.3300000000000002,-0.75462
0.3350000000000002,-0.75656
0.3400000000000002,-0.7611
0.3450000000000002,-0.7485
0.3500000000000002,-0.76681
0.3550000000000002,-0.76668
0.3600000000000002,-0.75954
0.3650000000000002,-0.76953
0.3700000000000002,-0.75263
0.3750000000000002,-0.77117
0.3800000000000002,-0.76453
0.38500000000000023,-0.77322
0.39000000000000024,-0.76427
0.39500000000000024,-0.7611
0.40000000000000024,-0.74778
0.40500000000000025,-0.77817
0.41000000000000025,-0.76118
0.41500000000000026,-0.7659600000000001
0.42000000000000026,-0.758
0.42500000000000027,-0.75774
0.43000000000000027,-0.76458
0.4350000000000003,-0.7572800000000001
0.4400000000000003,-0.76518
0.4450000000000003,-0.75471
0.4500000000000003,-0.75655
0.4550000000000003,-0.7589899999999999
0.4600000000000003,-0.7569899999999999
0.4650000000000003,-0.76136
0.4700000000000003,-0.75063
0.4750000000000003,-0.75702
0.4800000000000003,-0.7640399999999999
0.4850000000000003,-0.76059
0.4900000000000003,-0.74315
0.49500000000000033,-0.74152
0.5000000000000003,-0.74979
0.5050000000000003,-0.77618
0.5100000000000003,-0.7337899999999999
0.5150000000000003,-0.73929
0.5200000000000004,-0.73107
0.5250000000000004,-0.73915
0.5300000000000004,-0.7389100000000001
0.5350000000000004,-0.7237600000000001
0.5400000000000004,-0.73636
0.5450000000000004,-0.72883
0.5500000000000004,-0.7357100000000001
0.5550000000000004,-0.72546
0.5600000000000004,-0.72207
0.5650000000000004,-0.7269399999999999
0.5700000000000004,-0.7369100000000001
0.5750000000000004,-0.72332
0.5800000000000004,-0.73855
0.5850000000000004,-0.73058
0.5900000000000004,-0.74875
0.5950000000000004,-0.7413
0.6000000000000004,-0.7397
0.6050000000000004,-0.75168
0.6100000000000004,-0.7427699999999999
0.6150000000000004,-0.73098
0.6200000000000004,-0.74239
0.6250000000000004,-0.7612899999999999
0.6300000000000004,-0.7539600000000001
0.6350000000000005,-0.7708
0.6400000000000005,-0.74327
0.6450000000000005,-0.7571
0.6500000000000005,-0.76939
0.6550000000000005,-0.77085
0.6600000000000005,-0.74703
0.6650000000000005,-0.7652
0.6700000000000005,-0.7714
0.6750000000000005,-0.77446
0.6800000000000005,-0.76612
0.6850000000000005,-0.7569
0.6900000000000005,-0.77587
0.6950000000000005,-0.75083
0.7000000000000005,-0.74602
0.7050000000000005,-0.75417
0.7100000000000005,-0.75264
0.7150000000000005,-0.74885
0.7200000000000005,-0.7708699999999999
0.7250000000000005,-0.7446699999999999
0.7300000000000005,-0.75029
0.7350000000000005,-0.7560399999999999
0.7400000000000005,-0.74959
0.7450000000000006,-0.76876
0.7500000000000006,-0.758
0.7550000000000006,-0.75402
0.7600000000000006,-0.76025
0.7650000000000006,-0.74524
0.7700000000000006,-0.75148
0.7750000000000006,-0.73927
0.7800000000000006,-0.73552
0.7850000000000006,-0.7336
0.7900000000000006,-0.73748
0.7950000000000006,-0.7348899999999999
0.8000000000000006,-0.73844
0.8050000000000006,-0.73888
0.8100000000000006,-0.74115
0.8150000000000006,-0.73951
0.8200000000000006,-0.72877
0.8250000000000006,-0.71927
0.8300000000000006,-0.72645
0.8350000000000006,-0.72195
0.8400000000000006,-0.71121
0.8450000000000006,-0.7318899999999999
0.8500000000000006,-0.72813
0.8550000000000006,-0.7400899999999999
0.8600000000000007,-0.74632
0.8650000000000007,-0.75368
0.8700000000000007,-0.76605
0.8750000000000007,-0.76863
0.8800000000000007,-0.76837
0.8850000000000007,-0.77545
0.8900000000000007,-0.76207
0.8950000000000007,-0.7739
0.9000000000000007,-0.77025
