Time,Fortuna_tn18
0.005,-0.72846
0.01,-0.72355
0.015,-0.72744
0.02,-0.73098
0.025,-0.71701
0.030000000000000002,-0.72636
0.035,-0.7387600000000001
0.04,-0.73855
0.045,-0.74064
0.049999999999999996,-0.74955
0.05499999999999999,-0.74945
0.05999999999999999,-0.7226100000000001
0.06499999999999999,-0.72328
0.06999999999999999,-0.72443
0.075,-0.72188
0.08,-0.7266100000000001
0.085,-0.7213
0.09000000000000001,-0.71616
0.09500000000000001,-0.71444
0.10000000000000002,-0.714
0.10500000000000002,-0.71124
0.11000000000000003,-0.71022
0.11500000000000003,-0.71601
0.12000000000000004,-0.70958
0.12500000000000003,-0.69704
0.13000000000000003,-0.69238
0.13500000000000004,-0.68816
0.14000000000000004,-0.6843899999999999
0.14500000000000005,-0.70612
0.15000000000000005,-0.6819
0.15500000000000005,-0.67642
0.16000000000000006,-0.66805
0.16500000000000006,-0.6682600000000001
0.17000000000000007,-0.66656
0.17500000000000007,-0.66206
0.18000000000000008,-0.6516
0.18500000000000008,-0.66699
0.19000000000000009,-0.65122
0.1950000000000001,-0.65399
0.2000000000000001,-0.62015
0.2050000000000001,-0.63625
0.2100000000000001,-0.6299399999999999
0.2150000000000001,-0.6279899999999999
0.2200000000000001,-0.63056
0.22500000000000012,-0.6167100000000001
0.23000000000000012,-0.6292800000000001
0.23500000000000013,-0.62573
0.24000000000000013,-0.60248
0.24500000000000013,-0.61651
0.2500000000000001,-0.6168399999999999
0.2550000000000001,-0.60423
0.2600000000000001,-0.59723
0.2650000000000001,-0.61374
0.27000000000000013,-0.5978
0.27500000000000013,-0.60265
0.28000000000000014,-0.6038399999999999
0.28500000000000014,-0.60863
0.29000000000000015,-0.59122
0.29500000000000015,-0.6067
0.30000000000000016,-0.5639
0.30500000000000016,-0.5871
0.31000000000000016,-0.58815
0.31500000000000017,-0.56293
0.3200000000000002,-0.5785100000000001
0.3250000000000002,-0.58343
0.3300000000000002,-0.58026
0.3350000000000002,-0.5756899999999999
0.3400000000000002,-0.56385
0.3450000000000002,-0.58192
0.3500000000000002,-0.57876
0.3550000000000002,-0.5733699999999999
0.3600000000000002,-0.56807
0.3650000000000002,-0.5734
0.3700000000000002,-0.5711
0.3750000000000002,-0.5543399999999999
0.3800000000000002,-0.5565100000000001
0.38500000000000023,-0.56596
0.39000000000000024,-0.56942
0.39500000000000024,-0.5452600000000001
0.40000000000000024,-0.54709
0.40500000000000025,-0.55824
0.41000000000000025,-0.54832
0.41500000000000026,-0.56277
0.42000000000000026,-0.54879
0.42500000000000027,-0.55313
0.43000000000000027,-0.55595
0.4350000000000003,-0.55489
0.4400000000000003,-0.55821
0.4450000000000003,-0.55982
0.4500000000000003,-0.55033
0.4550000000000003,-0.53192
0.4600000000000003,-0.55057
0.4650000000000003,-0.54265
0.4700000000000003,-0.54947
0.4750000000000003,-0.54996
0.4800000000000003,-0.52965
0.4850000000000003,-0.52586
0.4900000000000003,-0.5386
0.49500000000000033,-0.5313100000000001
0.5000000000000003,-0.51184
0.5050000000000003,-0.5274
0.5100000000000003,-0.52053
0.5150000000000003,-0.52575
0.5200000000000004,-0.51531
0.5250000000000004,-0.5031
0.5300000000000004,-0.51343
0.5350000000000004,-0.49593000000000004
0.5400000000000004,-0.51364
0.5450000000000004,-0.48138000000000003
0.5500000000000004,-0.44759
0.5550000000000004,-0.4553
0.5600000000000004,-0.44609
0.5650000000000004,-0.43972
0.5700000000000004,-0.44354
0.5750000000000004,-0.4305
0.5800000000000004,-0.43133
0.5850000000000004,-0.42388000000000003
0.5900000000000004,-0.42446000000000006
0.5950000000000004,-0.42412
0.6000000000000004,-0.41139
0.6050000000000004,-0.42617
0.6100000000000004,-0.40909
0.6150000000000004,-0.40347
0.6200000000000004,-0.4297
0.6250000000000004,-0.41053
0.6300000000000004,-0.40589000000000003
0.6350000000000005,-0.43303
0.6400000000000005,-0.44732
0.6450000000000005,-0.46481999999999996
0.6500000000000005,-0.46947
0.6550000000000005,-0.47726999999999997
0.6600000000000005,-0.47895
0.6650000000000005,-0.4654
0.6700000000000005,-0.4639
0.6750000000000005,-0.46497
0.6800000000000005,-0.4724
0.6850000000000005,-0.46998999999999996
0.6900000000000005,-0.47202
0.6950000000000005,-0.48583999999999994
0.7000000000000005,-0.46923000000000004
0.7050000000000005,-0.46576000000000006
0.7100000000000005,-0.4781
0.7150000000000005,-0.48053999999999997
0.7200000000000005,-0.47985
0.7250000000000005,-0.4767
0.7300000000000005,-0.4937
0.7350000000000005,-0.4745
0.7400000000000005,-0.47236999999999996
0.7450000000000006,-0.48439
0.7500000000000006,-0.49296999999999996
0.7550000000000006,-0.48401000000000005
0.7600000000000006,-0.47831999999999997
0.7650000000000006,-0.48768
0.7700000000000006,-0.47591999999999995
0.7750000000000006,-0.48578999999999994
0.7800000000000006,-0.49296
0.7850000000000006,-0.47361000000000003
0.7900000000000006,-0.47991000000000006
0.7950000000000006,-0.47603
0.8000000000000006,-0.48233000000000004
0.8050000000000006,-0.48156000000000004
0.8100000000000006,-0.48043
0.8150000000000006,-0.46933
0.8200000000000006,-0.48433000000000004
0.8250000000000006,-0.47891999999999996
0.8300000000000006,-0.48761000000000004
0.8350000000000006,-0.47736999999999996
0.8400000000000006,-0.47438
0.8450000000000006,-0.4822
0.8500000000000006,-0.46048
0.8550000000000006,-0.47455
0.8600000000000007,-0.46015
0.8650000000000007,-0.4773
0.8700000000000007,-0.47628000000000004
0.8750000000000007,-0.47847
0.8800000000000007,-0.4833
0.8850000000000007,-0.47697
