pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z,pt5_X,pt5_Y,pt5_Z,pt6_X,pt6_Y,pt6_Z,pro/ret 2-4x,pro/ret 2-4y,pro/ret 2-4z,pt5_X',pt5_Y',pt5_Z',side (1-2),side (2-5'),side (5'-1) C,P/R comp�,Pro/Ret Ang,ele/dep 3-4x,ele/dep 3-4y,ele/dep 3-4z,"pt5_X""","pt5_Y""","pt5_Z""",side 2-3,"side 3-5""","side 5""-1 C",E/D comp �,Ele/Dep Ang
-1.69505,7.039786,15.451495,-1.174244,7.118944,15.688828,-1.304595,7.401728,14.7489,-2.14351,4.90897,12.597312,-2.95532,3.977657,11.477042,-5.034765,3.010119,12.167494,0.969266,2.209974,3.091516,-1.986054,6.187631,14.568558,0.57778182,1.667748258,1.261122206,0.658032078,113.8722748,0.838915,2.492758,2.151588,-2.116405,6.470415,13.62863,0.990163026,1.667748258,2.356411045,2.143903539,136.8721635
-1.915022,6.878021,15.429159,-1.417957,6.961892,15.678375,-1.556466,7.256787,14.694662,-2.404344,4.730512,12.594542,-3.232425,3.774908,11.525364,-5.287871,2.792475,12.228929,0.986387,2.23138,3.083833,-2.246038,6.006288,14.609197,0.562331373,1.655910246,1.241703546,0.61934471,111.4057259,0.847878,2.526275,2.10012,-2.384547,6.301183,13.625484,1.036262067,1.655910246,2.363301519,2.112443357,133.9813971
-2.198904,6.73193,15.382728,-1.685414,6.742728,15.701095,-1.812289,7.064578,14.739773,-2.696235,4.529694,12.636653,-3.49978,3.632194,11.442578,-5.54928,2.557294,12.271851,1.010821,2.213034,3.064442,-2.488959,5.845228,14.50702,0.604273219,1.696173907,1.27954556,0.671447814,103.9824502,0.883946,2.534884,2.10312,-2.615834,6.167078,13.545698,1.021677383,1.696173907,2.41718649,2.158602264,132.5874796
-2.44953,6.499555,15.48132,-1.911468,6.563132,15.671168,-2.069409,6.848535,14.819337,-2.950627,4.322812,12.667303,-3.788743,3.430326,11.497552,-5.83328,2.367866,12.245978,1.039159,2.24032,3.003865,-2.749584,5.670646,14.501417,0.574103661,1.693306556,1.318079065,0.721684299,98.60183164,0.881218,2.525723,2.152034,-2.907525,5.956049,13.649586,0.912149267,1.693306556,2.33398224,2.172340378,133.0390273
-2.67516,6.277299,15.556109,-2.160747,6.339464,15.723122,-2.363893,6.635938,14.824047,-3.23867,4.170553,12.64446,-4.028385,3.183056,11.576782,-6.098547,2.147664,12.252542,1.077923,2.168911,3.078662,-2.950462,5.351967,14.655444,0.544406616,1.654912813,1.320313578,0.771362061,100.7710619,0.874777,2.465385,2.179587,-3.153608,5.648441,13.756369,0.968246346,1.654912813,2.308983134,2.113527267,132.8093652
-2.922991,6.107283,15.513996,-2.449279,6.144531,15.730965,-2.601205,6.469142,14.833778,-3.467043,3.991425,12.60242,-4.304964,2.980728,11.602497,-6.368198,1.976682,12.204302,1.017764,2.153106,3.128545,-3.2872,5.133834,14.731042,0.522365791,1.650292712,1.301256361,0.713939576,101.487383,0.865838,2.477717,2.231358,-3.439126,5.458445,13.833855,0.966125418,1.650292712,2.247117584,2.022769845,132.573326
-3.183242,5.902355,15.526007,-2.670103,5.931349,15.776632,-2.829901,6.295365,14.785004,-3.76501,3.77412,12.60345,-4.596889,2.800884,11.603681,-6.599482,1.764049,12.228128,1.094907,2.157229,3.173182,-3.501982,4.958113,14.776863,0.571808688,1.624422678,1.246757745,0.707943876,97.97156879,0.935109,2.521245,2.181554,-3.66178,5.322129,13.785235,1.068348791,1.624422678,2.306563308,2.030544464,132.2948264
-3.438331,5.697507,15.571437,-2.921507,5.770825,15.746048,-3.095318,6.11607,14.770848,-4.014939,3.526447,12.718658,-4.853275,2.578063,11.669475,-6.868352,1.590752,12.161581,1.093432,2.244378,3.02739,-3.759843,4.822441,14.696865,0.55042854,1.644087719,1.278274874,0.710469509,99.12295912,0.919621,2.589623,2.05219,-3.933654,5.167686,13.721665,1.049008777,1.644087719,2.342294758,2.080470471,131.5871974
-3.719663,5.50666,15.573428,-3.161255,5.629608,15.730732,-3.319907,5.929903,14.741311,-4.230063,3.362186,12.694919,-5.074148,2.375575,11.657085,-7.137699,1.340517,12.285629,1.068808,2.267422,3.035813,-4.00534,4.642997,14.692898,0.593026352,1.662221455,1.266040365,0.696900419,98.07492892,0.910156,2.567717,2.046392,-4.163992,4.943292,13.703477,1.046088648,1.662221455,2.363529982,2.091131413,130.7338577
-3.960703,5.343554,15.486269,-3.422923,5.431027,15.694587,-3.597995,5.659144,14.849276,-4.4865,3.162477,12.734807,-5.291488,2.197135,11.627945,-7.446543,1.235763,12.306112,1.063577,2.26855,2.95978,-4.227911,4.465685,14.587725,0.583314018,1.674823676,1.284303475,0.69886167,97.8238895,0.888505,2.496667,2.114469,-4.402983,4.693802,13.742414,0.892881995,1.674823676,2.305427884,2.180539488,130.1239424
